signal_date,trade_date,top_coins,bottom_coins,short_return,long_return,combined_return,cum_short_return,cum_long_return,cum_combined_return,short_equity,long_equity,combined_equity
2023-06-14,2023-06-15,"['LINK', 'ATOM', 'SNX']","['CRV', 'APE', 'OP']",0.5584310040147625,2.05120302097912,1.3048170124969412,1.247145361690329,0.8272925220351433,1.0376163935311775,124714.5361690329,82729.25220351432,103761.63935311775
2023-06-15,2023-06-16,"['STX', 'CRV', 'DYDX']","['SNX', 'BNB', 'INJ']",-3.966121097962594,3.1615192537044035,-0.4023009221290952,1.197682066378067,0.8534475344037411,1.033442053211839,119768.2066378067,85344.75344037412,103344.2053211839
2023-06-16,2023-06-17,"['SUI', 'GMX', 'CFX']","['LINK', 'DOGE', 'BNB']",-2.8556203176349104,0.9825550061375717,-0.9365326557486693,1.1634808139499053,0.8618331258777827,1.0237635309052706,116348.08139499053,86183.31258777827,102376.35309052706
2023-06-17,2023-06-18,"['INJ', 'SUI', 'BNB']","['LINK', 'CRV', 'DOGE']",2.3982595569690957,-0.0776164189261704,1.1603215690214626,1.191384103763961,0.8611642018683568,1.0356424799701403,119138.4103763961,86116.42018683569,103564.24799701403
2023-06-18,2023-06-19,"['XRP', 'CRV', 'ARB']","['INJ', 'LDO', 'SUI']",-1.6398998558688909,5.844449001423025,2.102274572777067,1.1718465975634909,0.9114945044650646,1.0574145284914305,117184.65975634908,91149.45044650647,105741.45284914305
2023-06-19,2023-06-20,"['SUI', 'STX', 'INJ']","['GMX', 'CFX', 'LINK']",-10.533584336244191,8.38294411265712,-1.0753201117935358,1.0484091479177324,0.987904579364312,1.0460439374015353,104840.91479177325,98790.4579364312,104604.39374015354
2023-06-20,2023-06-21,"['STX', 'CFX', 'OP']","['XRP', 'DOGE', 'BNB']",-8.411809164805796,1.714343056455503,-3.3487330541751463,0.9602189711285263,1.00484065292505,1.011014718308575,96021.89711285263,100484.065292505,101101.4718308575
2023-06-21,2023-06-22,"['CFX', 'STX', 'AVAX']","['BNB', 'SUI', 'APE']",3.661743134889443,-3.9463934269446423,-0.1423251460275996,0.9953797233837312,0.9651856874467483,1.0095757901343818,99537.97233837312,96518.56874467482,100957.57901343818
2023-06-22,2023-06-23,"['CFX', 'BTC', 'LTC']","['STX', 'OP', 'LDO']",-1.925275270689945,0.8117726467160394,-0.5567513119869527,0.9762159237199622,0.9730208008474591,1.003954963677306,97621.59237199623,97302.08008474592,100395.4963677306
2023-06-23,2023-06-24,"['LINK', 'FTM', 'LTC']","['CFX', 'STX', 'SUI']",-0.8350905817779234,-2.819072925393847,-1.8270817535858852,0.9680636364831605,0.945590634892318,0.9856118857217382,96806.36364831605,94559.0634892318,98561.18857217382
2023-06-24,2023-06-25,"['LINK', 'ATOM', 'FTM']","['SUI', 'LDO', 'SOL']",-0.25571556994976596,2.476098406254431,1.1101914181523325,0.9655881470376512,0.9690043895325777,0.9965540642933104,96558.81470376512,96900.43895325778,99655.40642933104
2023-06-25,2023-06-26,"['SNX', 'DYDX', 'LDO']","['CFX', 'LTC', 'SUI']",0.5209907856978502,-1.0210358225584952,-0.2500225184303225,0.970618772311508,0.9591105075932859,0.9940624547242445,97061.8772311508,95911.05075932859,99406.24547242445
2023-06-26,2023-06-27,"['INJ', 'ARB', 'LDO']","['SNX', 'SOL', 'DOGE']",-2.5396782842143084,1.7629865251773753,-0.38834587951846655,0.945968178128605,0.9760194966037158,0.9902020541414828,94596.8178128605,97601.94966037158,99020.20541414828
2023-06-27,2023-06-28,"['ARB', 'CFX', 'CRV']","['STX', 'APE', 'SUI']",6.852259358054454,-3.8032693916020306,1.5244949832262116,1.0107883711386394,0.9388988458333185,1.0052976347806726,101078.83711386393,93889.88458333185,100529.76347806725
2023-06-28,2023-06-29,"['INJ', 'STX', 'BTC']","['CFX', 'SUI', 'ARB']",-1.928516172237053,1.2514322566282636,-0.33854195780439467,0.9912951539341393,0.9506485288471872,1.0018942804861248,99129.51539341392,95064.85288471873,100189.42804861248
2023-06-29,2023-06-30,"['SOL', 'CRV', 'SNX']","['ATOM', 'ARB', 'OP']",-5.004747723400826,5.545089507685301,0.2701708921422372,0.9416833322854377,1.0033628406752573,1.0046011072020362,94168.33322854376,100336.28406752573,100460.11072020362
2023-06-30,2023-07-01,"['LTC', 'OP', 'LDO']","['APT', 'APE', 'CFX']",-1.3562670172868978,2.453623455648627,0.5486782191808647,0.9289115918423622,1.0279815866793278,1.0101131346669034,92891.15918423621,102798.15866793279,101011.31346669035
2023-07-01,2023-07-02,"['INJ', 'LDO', 'LINK']","['BCH', 'LTC', 'ETH']",0.0200830475930965,4.170933813052313,2.0955084303227047,0.9290981455994496,1.0708580182700875,1.0312801405596455,92909.81455994496,107085.80182700875,103128.01405596455
2023-07-02,2023-07-03,"['LTC', 'BCH', 'SOL']","['APE', 'CRV', 'INJ']",1.9550550685225556,1.1379535900526576,1.5465043292876066,0.9472625259865407,1.0830438855333588,1.0472289325804836,94726.25259865407,108304.38855333588,104722.89325804835
2023-07-03,2023-07-04,"['LDO', 'STX', 'ATOM']","['DYDX', 'LTC', 'SNX']",3.009756004212065,-1.1643022647005636,0.9227268697557506,0.9757728167380716,1.070433981046393,1.05689199532926,97577.28167380716,107043.3981046393,105689.199532926
2023-07-04,2023-07-05,"['CRV', 'DOGE', 'APT']","['OP', 'BCH', 'CFX']",2.364014157963564,-2.1784823834042384,0.09276588727966284,0.9988402242753195,1.0471147653433246,1.057872430566315,99884.02242753195,104711.47653433245,105787.2430566315
2023-07-05,2023-07-06,"['BCH', 'SOL', 'BTC']","['FTM', 'OP', 'LDO']",-0.5168192135287667,-6.5757757018713745,-3.5462974577000708,0.9936780260838108,0.9782588470331708,1.0203571274554317,99367.80260838108,97825.88470331708,102035.71274554318
2023-07-06,2023-07-07,"['BCH', 'SOL', 'SNX']","['FTM', 'APE', 'LDO']",-2.417668237594998,0.662341193020688,-0.8776635222871549,0.9696541880632217,0.9847382583514407,1.0114018251506984,96965.41880632217,98473.82583514407,101140.18251506984
2023-07-07,2023-07-08,"['CRV', 'SOL', 'ARB']","['BCH', 'ATOM', 'APE']",0.39537677420390754,0.8206972374854534,0.6080370058446805,0.9734879755129192,0.9928199780341934,1.0175515225254033,97348.79755129192,99281.99780341935,101755.15225254033
2023-07-08,2023-07-09,"['AVAX', 'APE', 'FTM']","['APT', 'BCH', 'SUI']",1.300591050877294,-0.9673264619662447,0.16663229445552463,0.9861490730038068,0.9832161676669812,1.0192470919746546,98614.90730038068,98321.61676669812,101924.70919746546
2023-07-09,2023-07-10,"['CRV', 'ATOM', 'INJ']","['BCH', 'FTM', 'CFX']",-0.48331179151698267,3.387599823218198,1.4521440158506076,0.9813828982520441,1.0165235968247204,1.034048027627496,98138.28982520441,101652.35968247204,103404.80276274959
2023-07-10,2023-07-11,"['BNB', 'FTM', 'BCH']","['APE', 'INJ', 'ATOM']",-0.26810880002272236,0.2443335323689566,-0.011887633826882876,0.9787517243399122,1.0190073048362063,1.0339251037843775,97875.17243399122,101900.73048362063,103392.51037843776
2023-07-11,2023-07-12,"['SOL', 'STX', 'OP']","['AVAX', 'LDO', 'CRV']",-0.1204137954537221,-1.174276085738483,-0.6473449405961026,0.9775731722405657,1.0070413457435865,1.0272320419354763,97757.31722405658,100704.13457435866,102723.20419354763
2023-07-12,2023-07-13,"['CFX', 'BCH', 'STX']","['BNB', 'APE', 'DYDX']",-0.9613690425077684,8.610008627724296,3.824319792608264,0.9681750863947838,1.09374769249686,1.066516680231229,96817.50863947837,109374.76924968601,106651.6680231229
2023-07-13,2023-07-14,"['XRP', 'LDO', 'SOL']","['BCH', 'CFX', 'STX']",7.105889786573582,-6.442575861307645,0.3316569626329682,1.0369725409750608,1.023282167676448,1.0700538570588578,103697.25409750607,102328.21676764482,107005.38570588578
2023-07-14,2023-07-15,"['SNX', 'INJ', 'OP']","['FTM', 'SOL', 'XRP']",-2.268859710449178,-0.4514950451699769,-1.3601773778095776,1.0134450887844566,1.018662099391281,1.0554992265647645,101344.50887844566,101866.2099391281,105549.92265647645
