trade_date,daily_pnl,daily_return_pct,positions,equity
2024-05-02,87.90426429991696,6.008094457297343,10,1551.0015062740297
2024-05-03,16.731797697924634,1.078773787790795,10,1567.7333039719542
2024-05-04,-11.124286262918973,-0.7095777218443259,10,1556.6090177090352
2024-05-05,0.30893884364425683,0.01984691339505039,10,1556.9179565526795
2024-05-06,-2.5895632796108305,-0.16632625172778082,10,1554.3283932730687
2024-05-07,-19.600000000000005,-1.260994786225759,10,1534.7283932730688
2024-05-08,-6.332795348978482,-0.4126329698946092,10,1528.3955979240905
2024-05-09,-8.430026806905719,-0.5515605264995278,10,1519.9655711171847
2024-05-10,0.6075760234912648,0.039973012220578946,10,1520.573147140676
2024-05-11,-11.023355197991775,-0.7249473804479823,10,1509.5497919426841
2024-05-12,-12.485512771315696,-0.827101751658534,10,1497.0642791713685
2024-05-13,3.891809148668634,0.2599627285758743,10,1500.9560883200372
2024-05-14,0.7633337587537914,0.05085650171206286,10,1501.719422078791
2024-05-15,-0.4832987694609401,-0.032183027159089564,10,1501.23612330933
2024-05-16,-11.334725885694189,-0.7550261887322482,10,1489.9013974236357
2024-05-17,15.032514833645976,1.0089603821863964,10,1504.9339122572817
2024-05-18,-4.751122087422351,-0.3157030384341624,10,1500.1827901698593
2024-05-19,-14.052863859157743,-0.9367434389489695,10,1486.1299263107016
2024-05-20,57.23204458738498,3.851079476574622,10,1543.3619708980866
2024-05-21,-16.32213075060532,-1.0575698415782158,10,1527.0398401474813
2024-05-22,-7.6805447001700395,-0.502969503364644,10,1519.3592954473113
2024-05-23,-7.578093438500691,-0.49876901804649443,10,1511.7812020088106
2024-05-24,4.725355672595528,0.3125687544147668,10,1516.506557681406
2024-05-25,9.271241666135545,0.6113551978509337,10,1525.7777993475415
2024-05-26,4.677320122211537,0.30655316417709505,10,1530.455119469753
2024-05-27,3.1910528249772248,0.20850352188588242,10,1533.6461722947304
2024-05-28,-13.410231958762898,-0.8744019449217372,10,1520.2359403359674
2024-05-29,-12.834811353966884,-0.8442644337911411,10,1507.4011289820005
2024-05-30,-8.674181141885647,-0.5754394749421222,10,1498.726947840115
2024-05-31,-3.2715175513921455,-0.2182864301003516,10,1495.4554302887227
2024-06-01,-7.68525926851982,-0.5139076105421646,10,1487.770171020203
2024-06-02,-4.90853961607552,-0.32992593289524047,10,1482.8616314041274
2024-06-03,9.55993977553478,0.6446953359014648,10,1492.4215711796621
2024-06-04,5.017079392493034,0.33617038840623026,10,1497.4386505721552
2024-06-05,-10.471366791352912,-0.6992851952466911,10,1486.9672837808023
2024-06-06,-1.9138025728946808,-0.12870508946428166,10,1485.0534812079077
2024-06-07,18.88176337994397,1.271453427023112,10,1503.9352445878517
2024-06-08,-19.600000000000005,-1.303247601286937,10,1484.3352445878518
2024-06-09,-11.964586366798505,-0.8060568803727794,10,1472.3706582210532
2024-06-10,22.179415521516766,1.5063744579312908,10,1494.55007374257
2024-06-11,16.29121981005282,1.0900417521145507,10,1510.8412935526228
2024-06-12,12.501632433190352,0.8274616590465144,10,1523.342925985813
2024-06-13,31.49435144910315,2.0674498769685727,10,1554.8372774349161
2024-06-14,-5.239698768728713,-0.3369933847593927,10,1549.5975786661875
2024-06-15,-5.759505670849182,-0.3716775084152276,10,1543.8380729953383
2024-06-16,-5.964945586218286,-0.3863711933626019,10,1537.87312740912
2024-06-17,44.8343352287409,2.915346814354838,10,1582.7074626378608
2024-06-18,-1.4773114964813412,-0.09334078036247719,10,1581.2301511413793
2024-06-19,-11.901932227136339,-0.7527008145237534,10,1569.328218914243
2024-06-20,-3.104821163680829,-0.1978439644594509,10,1566.2233977505623
2024-06-21,-16.42559369656744,-1.0487388785123608,10,1549.797804053995
2024-06-22,18.08900436216588,1.1671847975812242,10,1567.8868084161609
2024-06-23,3.3163137278177777,0.21151486893163118,10,1571.2031221439786
2024-06-24,-15.538455003981953,-0.9889526557698677,10,1555.6646671399967
2024-06-25,3.3316240725434794,0.21416081131857842,10,1558.9962912125402
2024-06-26,-12.704167040862137,-0.8148939873988552,10,1546.292124171678
2024-06-27,9.249211749493682,0.5981542300390571,10,1555.5413359211718
2024-06-28,13.047140871497966,0.8387524375089406,10,1568.5884767926698
2024-06-29,-10.149227016101207,-0.6470292983953047,10,1558.4392497765687
2024-06-30,-14.15990803373208,-0.9085954448184084,10,1544.2793417428366
2024-07-01,5.21663791885606,0.33780403440278417,10,1549.4959796616927
2024-07-02,-5.549662673389596,-0.358159217334741,10,1543.9463169883031
2024-07-03,18.907434228164043,1.2246173341729787,10,1562.8537512164671
2024-07-04,-1.1142171100302458,-0.07129375408050695,10,1561.7395341064368
2024-07-05,-10.454441327338968,-0.6694100455951235,10,1551.2850927790978
2024-07-06,16.934529881074752,1.0916452404462202,10,1568.2196226601725
2024-07-07,-3.667918907736873,-0.23389063972525598,10,1564.5517037524355
2024-07-08,23.423215194154103,1.4971199186307262,10,1587.9749189465897
