date,position,zscore,spread,beta,equity_net
2026-03-13,0,0.311949,-0.00597139,1.047405,11143.780889
2026-03-14,0,0.221553,-0.00675464,1.026206,11143.780889
2026-03-15,0,1.479867,0.00359666,1.01946,11143.780889
2026-03-16,0,0.195974,-0.00587557,1.060696,11143.780889
2026-03-17,0,0.513025,-0.00336865,1.024543,11143.780889
2026-03-18,0,0.527869,-0.00332303,1.030962,11143.780889
2026-03-19,0,-1.79912,-0.02233747,1.025359,11143.780889
2026-03-20,0,-2.72375,-0.03244654,1.075528,11143.780889
2026-03-21,1,-2.593941,-0.03631901,1.105188,11095.612228
2026-03-22,1,-2.075799,-0.03480126,1.104275,11112.452574
2026-03-23,1,-0.319992,-0.01745076,1.169872,11305.25922
2026-03-24,0,1.357565,0.00229177,1.241389,11300.171853
2026-03-25,0,1.215491,0.00185955,1.223879,11300.171853
2026-03-26,0,1.368938,0.00482574,1.191698,11300.171853
2026-03-27,0,1.540505,0.0084671,1.147636,11300.171853
2026-03-28,0,1.338661,0.00786514,1.130665,11300.171853
2026-03-29,0,1.267982,0.00873089,1.125412,11300.171853
