date,yahoo_close,hl_close,basis,zscore,position,equity_net
2026-02-27,402.51,401.6,-0.002261,-0.2295,0,10290.1043
2026-03-02,403.32,402.92,-0.000992,0.1946,0,10290.1043
2026-03-03,392.43,390.83,-0.004077,-0.4593,0,10290.1043
2026-03-04,405.94,405.42,-0.001281,0.2652,0,10290.1043
2026-03-05,405.55,404.9,-0.001603,0.1797,0,10290.1043
2026-03-06,396.73,396.12,-0.001538,0.29,0,10290.1043
2026-03-09,398.68,396.7,-0.004966,-1.8957,0,10290.1043
2026-03-10,399.24,399.75,0.001277,2.0516,0,10290.1043
2026-03-11,407.82,404.6,-0.007896,-3.4486,-1,10379.866
2026-03-12,395.01,395.6,0.001494,1.9949,1,10467.9835
2026-03-13,391.2,389.74,-0.003732,-0.6208,1,10413.2804
2026-03-16,395.56,395.35,-0.000531,0.8477,1,10446.616
2026-03-17,399.27,398.67,-0.001503,0.3635,1,10436.4636
2026-03-18,392.78,393.08,0.000764,1.3204,0,10431.7672
2026-03-19,380.3,382.48,0.005732,3.3199,0,10431.7672
2026-03-20,367.96,372.3,0.011795,4.617,-1,10363.831
2026-03-23,380.85,381.67,0.002153,0.768,-1,10463.7562
2026-03-24,383.03,386.53,0.009138,2.3477,-1,10390.671
2026-03-25,385.95,385.08,-0.002254,-0.3863,-1,10509.0402
2026-03-26,372.11,374.18,0.005563,1.2319,0,10504.3112
2026-03-27,361.83,360.38,-0.004007,-0.8959,0,10504.3112
