date,yahoo_close,hl_close,basis,zscore,position,equity_net
2026-02-02,242.96,243.99,0.004239,1.6778,0,10230.881
2026-02-03,238.62,239.35,0.003059,1.0822,0,10230.881
2026-02-04,232.99,233.93,0.004034,1.3405,0,10230.881
2026-02-05,222.69,198.18,-0.110063,-38.4743,0,10230.881
2026-02-06,210.32,209.81,-0.002425,0.1051,1,11327.5129
2026-02-09,208.72,209.09,0.001773,0.2778,0,11322.4155
2026-02-10,206.96,207.83,0.004204,0.3744,0,11322.4155
2026-02-11,204.08,204.31,0.001127,0.2378,0,11322.4155
2026-02-12,199.6,199.39,-0.001052,0.1476,0,11322.4155
2026-02-13,198.79,198.83,0.000201,0.2005,0,11322.4155
2026-02-17,201.15,200.9,-0.001243,0.1405,0,11322.4155
2026-02-18,204.79,205.24,0.002197,0.2782,0,11322.4155
2026-02-19,204.86,205.18,0.001562,0.25,0,11322.4155
2026-02-20,210.11,210.12,4.8e-05,0.1909,0,11322.4155
2026-02-23,205.27,205.37,0.000487,0.2181,0,11322.4155
2026-02-24,208.56,208.71,0.000719,0.2237,0,11322.4155
2026-02-25,210.64,209.23,-0.006694,-0.0714,0,11322.4155
2026-02-26,207.92,206.4,-0.00731,-0.0801,0,11322.4155
2026-02-27,210.0,209.57,-0.002048,0.1287,0,11322.4155
2026-03-02,208.39,207.98,-0.001967,0.1358,0,11322.4155
2026-03-03,208.73,208.03,-0.003354,0.0848,0,11322.4155
2026-03-04,216.82,216.73,-0.000415,0.2193,0,11322.4155
2026-03-05,218.94,218.84,-0.000457,0.2251,0,11322.4155
2026-03-06,213.21,212.93,-0.001313,0.2001,0,11322.4155
2026-03-09,213.49,211.92,-0.007354,-2.3682,0,11322.4155
2026-03-10,214.33,214.77,0.002053,0.9933,1,11423.8293
2026-03-11,212.65,210.73,-0.009029,-2.5537,1,11297.2328
2026-03-12,209.53,209.8,0.001289,0.8877,1,11413.7919
2026-03-13,207.67,207.44,-0.001108,0.1713,1,11386.4431
2026-03-16,211.74,211.36,-0.001795,-0.0321,0,11381.3192
2026-03-17,215.2,214.89,-0.001441,0.1038,0,11381.3192
2026-03-18,209.87,209.91,0.000191,0.5961,0,11381.3192
2026-03-19,208.76,209.11,0.001677,1.1043,0,11381.3192
2026-03-20,205.37,206.95,0.007693,2.956,0,11381.3192
2026-03-23,210.14,210.49,0.001666,0.8197,-1,11444.803
2026-03-24,207.24,208.96,0.0083,2.4914,-1,11368.8785
2026-03-25,211.71,210.75,-0.004535,-0.7761,-1,11514.7875
2026-03-26,207.54,208.15,0.002939,0.8982,-1,11428.7287
2026-03-27,199.34,198.66,-0.003411,-0.7123,-1,11501.3064
