date,position,zscore,spread,beta,equity_net
2026-03-13,0,0.233073,-0.11194323,0.529523,9933.64519
2026-03-14,0,0.061048,-0.11444766,0.541124,9933.64519
2026-03-15,0,0.241772,-0.10977493,0.582005,9933.64519
2026-03-16,0,0.072175,-0.11103427,0.58894,9933.64519
2026-03-17,0,-0.235168,-0.11363591,0.583319,9933.64519
2026-03-18,0,-1.241177,-0.12473692,0.580101,9933.64519
2026-03-19,0,-1.281397,-0.12471348,0.615558,9933.64519
2026-03-20,0,-1.74655,-0.13013071,0.62686,9933.64519
2026-03-21,0,-1.626783,-0.12894723,0.6344,9933.64519
2026-03-22,0,-1.696174,-0.13109982,0.63577,9933.64519
2026-03-23,0,-2.052213,-0.13729133,0.689103,9933.64519
2026-03-24,1,-3.033751,-0.15615153,0.664022,9741.824544
2026-03-25,1,-2.872648,-0.16495182,0.68046,9656.093579
2026-03-26,1,-2.021163,-0.15890301,0.633357,9714.50146
2026-03-27,1,-2.140207,-0.16671203,0.590908,9638.640757
2026-03-28,1,-1.7516,-0.16393462,0.582983,9665.411244
2026-03-29,1,-1.633421,-0.16531745,0.608712,9652.045605
