date,position,zscore,spread,beta,equity_net
2026-03-14,1,-2.043692,0.06836365,1.034338,10984.008072
2026-03-15,1,-1.20313,0.07673874,1.007732,11076.000094
2026-03-16,1,-1.548569,0.07068729,1.008987,11008.974255
2026-03-17,1,-1.89688,0.0645106,0.984961,10940.975247
2026-03-18,1,-1.713418,0.06518533,0.976775,10948.357445
2026-03-19,1,-1.669097,0.06240301,0.970736,10917.895542
2026-03-20,1,-1.628946,0.05953741,0.971776,10886.609268
2026-03-21,1,-1.47292,0.05897529,0.987623,10880.489638
2026-03-22,1,-1.361274,0.05807299,0.98557,10870.672235
2026-03-23,1,-0.920051,0.06437682,0.978973,10939.19905
2026-03-24,1,-1.165763,0.05785639,1.006634,10867.87082
2026-03-25,1,-1.454338,0.05157231,1.011726,10799.576253
2026-03-26,1,-4.052745,0.00622626,0.988843,10309.858068
2026-03-27,1,-3.413894,-0.00434099,1.232312,10200.91124
2026-03-28,1,-2.563458,-0.00261509,1.288262,10218.517024
2026-03-29,1,-2.146476,-0.00289057,1.36389,10215.702008
