date,yahoo_close,hl_close,basis,zscore,position,equity_net
2026-02-17,395.9562,396.47,0.001298,0.082,0,11524.1731
2026-02-18,398.69,400.28,0.003988,0.2667,0,11524.1731
2026-02-19,398.46,398.53,0.000176,0.0155,0,11524.1731
2026-02-20,397.23,397.67,0.001108,0.1009,0,11524.1731
2026-02-23,384.47,385.15,0.001769,0.1484,0,11524.1731
2026-02-24,389.0,388.82,-0.000463,0.0052,0,11524.1731
2026-02-25,400.6,397.81,-0.006965,-0.3959,0,11524.1731
2026-02-26,401.72,397.2,-0.011252,-0.637,0,11524.1731
2026-02-27,392.74,394.36,0.004125,0.6252,0,11524.1731
2026-03-02,398.55,396.9,-0.00414,-1.102,0,11524.1731
2026-03-03,403.93,403.0,-0.002302,-0.6545,0,11524.1731
2026-03-04,405.2,406.59,0.00343,0.5613,0,11524.1731
2026-03-05,410.68,411.18,0.001218,0.1346,0,11524.1731
2026-03-06,408.96,408.19,-0.001883,-0.6221,0,11524.1731
2026-03-09,409.41,407.85,-0.00381,-1.0184,0,11524.1731
2026-03-10,405.76,405.71,-0.000123,-0.1148,0,11524.1731
2026-03-11,404.88,402.22,-0.00657,-1.5894,0,11524.1731
2026-03-12,401.86,402.39,0.001319,0.4689,0,11524.1731
2026-03-13,395.55,395.32,-0.000581,0.0375,0,11524.1731
2026-03-16,399.95,398.83,-0.0028,-0.4683,0,11524.1731
2026-03-17,399.41,399.13,-0.000701,0.1069,0,11524.1731
2026-03-18,391.79,391.54,-0.000638,0.1497,0,11524.1731
2026-03-19,389.02,389.68,0.001697,0.8482,0,11524.1731
2026-03-20,381.87,383.82,0.005106,1.7224,0,11524.1731
2026-03-23,383.0,383.47,0.001227,0.601,0,11524.1731
2026-03-24,372.74,374.8,0.005527,1.69,0,11524.1731
2026-03-25,371.04,370.81,-0.00062,0.0672,0,11524.1731
2026-03-26,365.97,366.89,0.002514,0.7733,0,11524.1731
2026-03-27,356.77,356.37,-0.001121,-0.3838,0,11524.1731
