date,position,zscore,spread,beta,equity_net
2026-03-15,0,1.651098,0.12195498,1.347001,10054.89457
2026-03-16,0,0.966105,0.1078475,1.314572,10054.89457
2026-03-17,0,0.560929,0.09873954,1.25097,10054.89457
2026-03-18,0,0.984997,0.10408164,1.235382,10054.89457
2026-03-19,0,1.074068,0.10682518,1.219189,10054.89457
2026-03-20,0,0.681402,0.10179374,1.200393,10054.89457
2026-03-21,0,0.214029,0.09544283,1.206028,10054.89457
2026-03-22,0,0.117166,0.09430469,1.207663,10054.89457
2026-03-23,0,0.227561,0.09670205,1.229966,10054.89457
2026-03-24,0,1.074832,0.11070382,1.240782,10054.89457
2026-03-25,0,1.577119,0.11962649,1.228157,10054.89457
2026-03-26,0,1.593146,0.12165372,1.290922,10054.89457
2026-03-27,0,2.303172,0.13351373,1.288917,10054.89457
2026-03-28,-1,2.158404,0.13376213,1.2254,10047.872217
2026-03-29,-1,2.069683,0.13474232,1.144222,10038.023351
