date,yahoo_close,hl_close,basis,zscore,position,equity_net
2026-02-05,331.017,323.64,-0.022286,-4.1832,1,10314.3971
2026-02-06,322.6329,323.91,0.003958,0.3756,1,10585.0904
2026-02-09,324.0919,324.36,0.000827,-0.0325,0,10580.3271
2026-02-10,318.3559,318.83,0.001489,0.0634,0,10580.3271
2026-02-11,310.7412,312.16,0.004566,0.4462,0,10580.3271
2026-02-12,308.7826,309.2,0.001352,0.0461,0,10580.3271
2026-02-13,305.5049,306.3,0.002602,0.1886,0,10580.3271
2026-02-17,301.8075,301.01,-0.002642,-0.4726,0,10580.3271
2026-02-18,303.1166,303.63,0.001694,0.0829,0,10580.3271
2026-02-19,302.637,304.73,0.006916,0.7016,0,10580.3271
2026-02-20,314.7584,315.75,0.00315,0.2156,0,10580.3271
2026-02-23,311.2709,312.9,0.005234,0.4653,0,10580.3271
2026-02-24,310.6813,311.16,0.001541,-0.0251,0,10580.3271
2026-02-25,312.6799,312.44,-0.000767,-0.3046,0,10580.3271
2026-02-26,307.1638,308.58,0.004611,0.3745,0,10580.3271
2026-02-27,311.5407,309.21,-0.007481,-1.1585,0,10580.3271
2026-03-02,306.3044,305.42,-0.002887,-0.4641,0,10580.3271
2026-03-03,303.3664,302.43,-0.003087,-0.4739,0,10580.3271
2026-03-04,302.9168,303.6,0.002255,0.3386,0,10580.3271
2026-03-05,300.6683,300.98,0.001037,0.2346,0,10580.3271
2026-03-06,298.31,298.04,-0.000905,-0.1613,0,10580.3271
2026-03-09,306.36,304.87,-0.004864,-1.7719,0,10580.3271
2026-03-10,307.04,307.81,0.002508,0.4942,0,10580.3271
2026-03-11,308.7,306.09,-0.008455,-2.5644,0,10580.3271
2026-03-12,303.55,304.33,0.00257,0.541,1,10692.2086
2026-03-13,302.28,301.68,-0.001985,-0.5407,1,10643.5105
2026-03-16,305.56,304.68,-0.00288,-0.7159,1,10633.9841
2026-03-17,310.92,310.59,-0.001061,-0.2048,1,10653.3224
2026-03-18,307.69,307.38,-0.001008,-0.2127,0,10648.5284
2026-03-19,307.13,307.29,0.000521,0.1974,0,10648.5284
2026-03-20,301.0,302.66,0.005515,1.6592,0,10648.5284
2026-03-23,302.06,301.72,-0.001126,-0.168,0,10648.5284
2026-03-24,290.44,293.09,0.009124,2.7535,0,10648.5284
2026-03-25,290.93,290.32,-0.002097,-0.3987,-1,10763.2214
2026-03-26,280.92,281.75,0.002955,0.8138,0,10758.3779
2026-03-27,274.34,272.62,-0.00627,-1.3785,0,10758.3779
