sample,regime,feature,horizon,q1_mean,q4_mean,q4_minus_q1,n
OOS_2024+,high,ou_kappa,5d,-0.0005939140588219326,0.0002250392267407914,0.000818953285562724,55
OOS_2024+,mid,rolling_beta,1d,0.003722861246723008,0.003097835944027858,-0.0006250253026951502,36
OOS_2024+,mid,rolling_beta,5d,0.01295892137606703,0.014432929225546117,0.0014740078494790872,36
OOS_2024+,mid,delta_beta,1d,-0.001984880944055406,0.00035577154201852783,0.0023406524860739336,36
OOS_2024+,mid,delta_beta,5d,0.005211147112108141,0.0007272805015608723,-0.0044838666105472685,36
OOS_2024+,mid,beta_adjustment,1d,-0.000634903809400725,0.0038897726181180998,0.004524676427518825,36
OOS_2024+,mid,beta_adjustment,5d,0.009152959357821186,0.010511408815672666,0.00135844945785148,34
OOS_2024+,mid,zscore,1d,0.00016005206205616537,0.0059011699814651665,0.005741117919409001,35
OOS_2024+,mid,zscore,5d,0.0033791517383488217,0.0246908578297608,0.021311706091411975,35
OOS_2024+,mid,ou_kappa,1d,0.0005594587545113827,-0.001338167871305475,-0.0018976266258168577,35
OOS_2024+,mid,ou_kappa,5d,0.00497606002355945,0.0001387090844643331,-0.0048373509390951175,33
OOS_2024+,low,rolling_beta,1d,0.00038404579917960207,-0.000636089111619302,-0.001020134910798904,49
OOS_2024+,low,rolling_beta,5d,-0.003647642996312743,-0.006755514847807716,-0.0031078718514949734,49
OOS_2024+,low,delta_beta,1d,-0.004282075981376698,-0.0026475884865155004,0.001634487494861198,49
OOS_2024+,low,delta_beta,5d,-0.013737293117545896,-0.0052865677642848444,0.008450725353261052,49
OOS_2024+,low,beta_adjustment,1d,-0.005230051919468756,-0.0017413171620672876,0.003488734757401468,49
OOS_2024+,low,beta_adjustment,5d,-0.012537002476665265,-0.011534811825896966,0.0010021906507682986,49
OOS_2024+,low,zscore,1d,0.000966117127832419,-0.007953642026682344,-0.008919759154514763,49
OOS_2024+,low,zscore,5d,0.005277431965029732,-0.03101097358886345,-0.03628840555389318,49
OOS_2024+,low,ou_kappa,1d,0.0009190132397520326,0.0015682077593768063,0.0006491945196247737,49
OOS_2024+,low,ou_kappa,5d,0.006544415692539852,1.632263077649285e-05,-0.00652809306176336,49
