beta_window,z_entry,z_exit,rows_aligned,split_ratio,split_date,returns_corr,price_beta_static,full_return,full_sharpe,full_mdd,is_return,is_sharpe,is_mdd,oos_return,oos_sharpe,oos_mdd
60,1.5,0.75,1057,0.7,2024-12-11,0.7481629777577157,1.7060760611127368,0.03676104809943581,0.2856352871830974,-0.49439127880099254,0.3038557906691479,0.5110796179647422,-0.49439127880099254,-0.20484991091893412,-0.3519381858943499,-0.30598278394985023
60,1.5,1.0,1057,0.7,2024-12-11,0.7481629777577157,1.7060760611127368,0.045489280390759834,0.28331276361611235,-0.47958244221925594,0.0667814664110058,0.32879498893556164,-0.47958244221925594,-0.01995927628165306,0.1530253934076343,-0.32029784641956016
60,1.75,0.25,1057,0.7,2024-12-11,0.7481629777577157,1.7060760611127368,-0.22556639772276743,0.15495497407883022,-0.5645272381560877,0.2082669852677539,0.46454454722165317,-0.5645272381560877,-0.3590542390714935,-0.7421736358402161,-0.49598567780152747
60,1.75,0.5,1057,0.7,2024-12-11,0.7481629777577157,1.7060760611127368,-0.1233048236413139,0.19802739534574437,-0.5911603650055535,-0.010532293090358635,0.28645635817964576,-0.5911603650055535,-0.11397292682059423,-0.05457147116579852,-0.3185132338111124
60,1.75,0.75,1057,0.7,2024-12-11,0.7481629777577157,1.7060760611127368,0.00697020719853092,0.2513111595875929,-0.44511348767615977,0.057306778696328387,0.3139661049307806,-0.44511348767615977,-0.04760829355493312,0.07055076797910749,-0.22387048646434438
60,1.75,1.0,1057,0.7,2024-12-11,0.7481629777577157,1.7060760611127368,-0.009666882564803081,0.23218798261633208,-0.4484659455804113,-0.08508527716856451,0.17273923426960006,-0.4484659455804113,0.08243215757897038,0.4269540075014615,-0.2120624081262369
60,2.0,0.25,1057,0.7,2024-12-11,0.7481629777577157,1.7060760611127368,0.2043716098524908,0.39710266787500254,-0.5578308214750273,0.525962551892672,0.645471033896842,-0.5578308214750273,-0.21074628708372034,-0.3045119664024143,-0.4175138036109324
60,2.0,0.5,1057,0.7,2024-12-11,0.7481629777577157,1.7060760611127368,0.2613716317649988,0.4142400436610503,-0.5578308214750274,0.2362906831391851,0.46440749489507155,-0.5578308214750274,0.020287258464270597,0.2785610200161608,-0.2453094534639887
60,2.0,0.75,1057,0.7,2024-12-11,0.7481629777577157,1.7060760611127368,0.358744975019607,0.45731995012527166,-0.4124545104125553,0.35602891418058014,0.5472092592343492,-0.4124545104125553,0.0020029520098179265,0.20388604670604235,-0.23764713911103386
60,2.0,1.0,1057,0.7,2024-12-11,0.7481629777577157,1.7060760611127368,0.29688570492922084,0.4218039309231187,-0.42570033853607325,0.22504651361836814,0.44614775770822307,-0.42570033853607325,0.05864201114997969,0.36089251147625484,-0.20798986421711596
60,2.25,0.25,1057,0.7,2024-12-11,0.7481629777577157,1.7060760611127368,0.3759097382475378,0.46853741107516245,-0.5168083838199125,0.9844398965151582,0.8764654414251444,-0.5168083838199125,-0.3066508385243867,-0.9445865269815104,-0.3978036978874927
60,2.25,0.5,1057,0.7,2024-12-11,0.7481629777577157,1.7060760611127368,0.6800817395886416,0.6137941852776462,-0.5168083838199125,1.0167381705460437,0.9252812842352871,-0.5168083838199125,-0.16693115441269668,-0.4765620786992801,-0.2453004314787156
60,2.25,0.75,1057,0.7,2024-12-11,0.7481629777577157,1.7060760611127368,0.8405171505462288,0.7145483479416576,-0.3503629277297501,1.266521745809111,1.1085909492789123,-0.3503629277297501,-0.1879552208358829,-0.7363406855769001,-0.24926740892220134
60,2.25,1.0,1057,0.7,2024-12-11,0.7481629777577157,1.7060760611127368,0.6547630900604191,0.6282721878521498,-0.35036292772974986,0.9454812033545117,0.9480585567399166,-0.35036292772974986,-0.14943249659406654,-0.5807077109181872,-0.22006218917729792
90,1.5,0.25,1057,0.7,2024-12-11,0.7481629777577157,1.7060760611127368,-0.3606840582808468,0.04563031387145381,-0.6108144297865004,0.3121219405666458,0.5267350225089814,-0.6108144297865004,-0.5127617929755361,-1.2414585691453939,-0.5402112975275346
90,1.5,0.5,1057,0.7,2024-12-11,0.7481629777577157,1.7060760611127368,-0.24161419228927983,0.11361320829092036,-0.5954290522900632,0.19823264291591203,0.4452392661975586,-0.5954290522900632,-0.3670796633739003,-0.7335417772321438,-0.4133689326048683
90,1.5,0.75,1057,0.7,2024-12-11,0.7481629777577157,1.7060760611127368,0.3049810584640289,0.4321297876709962,-0.45549001718248516,0.6677403641896804,0.7348224965890926,-0.45549001718248516,-0.2175154559516279,-0.40257511293112824,-0.30065791961964417
90,1.5,1.0,1057,0.7,2024-12-11,0.7481629777577157,1.7060760611127368,0.3156006335958519,0.4352303109702036,-0.45709452880877655,0.33551734625432683,0.5301321929038948,-0.45709452880877655,-0.01491310668059409,0.16346983713430094,-0.3034818456028705
90,1.75,0.25,1057,0.7,2024-12-11,0.7481629777577157,1.7060760611127368,-0.16823054443281016,0.1856718828104578,-0.5765482450037791,0.32306994455625193,0.5312020873276952,-0.5765482450037791,-0.37133372351968896,-0.8121930891094453,-0.5014771528210522
90,1.75,0.5,1057,0.7,2024-12-11,0.7481629777577157,1.7060760611127368,-0.03717581164055905,0.24743721950254519,-0.5816935622802533,0.10890085320387288,0.3745130209730914,-0.5816935622802533,-0.13173104197943808,-0.11310159927899743,-0.32373295219443066
90,1.75,0.75,1057,0.7,2024-12-11,0.7481629777577157,1.7060760611127368,0.14559798286006842,0.3348119293302972,-0.4554900171824853,0.2186771501000384,0.44210613561178597,-0.4554900171824853,-0.05996597805577175,0.027359538629399806,-0.2224578498886255
