date,asset_close,btc_close,a_ret,b_ret,spread,z,rolling_beta,position,hedged_ret,fee_cost,strategy_ret_net,source,beta_window,z_entry,z_exit,rolling_vol,rolling_corr,drawdown_depth,signal_density,ou_kappa,ou_half_life,ou_sigma,ou_regime,vol_regime,corr_regime,dd_regime,ret_baseline,ret_guard_ou,ret_guard_ou_corr,ret_guard_ou_corr_vol,ret_size_ou_soft,ret_size_ou_corr_soft,ret_size_adaptive,guard_ou_active,guard_ou_corr_active,guard_ou_corr_vol_active,horizon,fold,vol_thr_train_q75
2025-06-04,378.1000061035156,104731.984375,-0.02408173540677161,-0.0066439151364365845,0.1904479569845181,-0.828786878623514,1.5737055256225028,0,-0.013626169444794372,0.00045,-0.00045,yahoo_daily,120,2.25,0.75,0.02993764865190638,0.47200902845606796,-0.00044999999999995044,6.0,0.018512668164279163,37.44177632359861,0.04482781021320282,medium,mid,low,calm,-0.00045,-0.00045,0.0,0.0,-0.00045,-0.0002025,-0.00014387338702780004,True,False,False,3m,6,0.043905908629423715
2025-06-05,368.7900085449219,101575.953125,-0.024623108723370035,-0.030134359325224014,0.21771868729112676,-0.49094316447312325,1.5648470946341044,0,0.022532555915366896,0.0,0.0,yahoo_daily,120,2.25,0.75,0.030263489249128098,0.49632912575653637,-0.00044999999999995044,6.0,0.019202620769824857,36.096488540208114,0.04477682930405592,medium,mid,low,calm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,3m,6,0.043905908629423715
2025-06-06,374.4700012207031,104390.34375,0.015401698918557916,0.027707252931573167,0.18637532286786662,-0.7959956720906175,1.5616840173013034,0,-0.027868275148004586,0.0,-0.0,yahoo_daily,120,2.25,0.75,0.03055632182490401,0.5016024115547281,-0.00044999999999995044,6.0,0.019244676498320387,36.01760625180896,0.04480019273579635,medium,mid,mid,calm,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,True,False,False,3m,6,0.043905908629423715
2025-06-09,392.1199951171875,110294.1015625,0.04713326525208594,0.05655463523176674,0.13857470634586821,-1.2403514855148616,1.545010246783578,0,-0.040244225684101215,0.0,-0.0,yahoo_daily,120,2.25,0.75,0.030184488350943818,0.5690167454180352,-0.00044999999999995044,5.0,0.020381741807890978,34.0082406642786,0.044836662165990596,medium,mid,mid,calm,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,True,False,False,3m,6,0.043905908629423715
2025-06-10,391.17999267578125,110257.234375,-0.002397231595204219,-0.0003342625487465778,0.1367449694556262,-1.176070332501775,1.5181504068032823,0,-0.0018897707708454999,0.0,-0.0,yahoo_daily,120,2.25,0.75,0.030187422485325868,0.5695619134445292,-0.00044999999999995044,4.0,0.02085727517447,33.2328731707189,0.04482305656622265,medium,mid,mid,calm,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,True,False,False,3m,6,0.043905908629423715
2025-06-11,387.1099853515625,108686.625,-0.010404436321956978,-0.014244955298426398,0.1507637648436697,-0.9617639410025536,1.5153779584686684,0,0.011182054956649857,0.0,0.0,yahoo_daily,120,2.25,0.75,0.028885979778617243,0.607954685762821,-0.00044999999999995044,3.0,0.02109416054810465,32.85967123362138,0.04482209907650112,medium,mid,mid,calm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,3m,6,0.043905908629423715
2025-06-12,379.760009765625,105929.0546875,-0.01898678893354422,-0.025371753999169577,0.17543914561986718,-0.6343363246461201,1.5457485746826736,0,0.020231563647871577,0.0,0.0,yahoo_daily,120,2.25,0.75,0.029293364605602525,0.6152416767755137,-0.00044999999999995044,3.0,0.020649180486304063,33.56778158918643,0.04483923982079883,medium,mid,mid,calm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,3m,6,0.043905908629423715
2025-06-13,382.8699951171875,106090.96875,0.00818934398459148,0.0015285141831733462,0.18098936839828017,-0.5211095187563534,1.5407668898070424,0,0.005834259940557531,0.0,0.0,yahoo_daily,120,2.25,0.75,0.028915559486805176,0.6183573926066568,-0.00044999999999995044,2.0,0.0205804685035975,33.67985429674655,0.04484149601430073,medium,mid,mid,calm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,3m,6,0.043905908629423715
2025-06-16,382.25,106796.7578125,-0.0016193358714300388,0.006652678081987995,0.16805633241990847,-0.6250378457695701,1.5359398999029767,0,-0.011837449578765407,0.0,-0.0,yahoo_daily,120,2.25,0.75,0.0283173080272092,0.630925758556035,-0.00044999999999995044,1.0,0.022131740366502565,31.319144770424668,0.04472035434009633,medium,mid,mid,calm,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,True,True,True,3m,6,0.043905908629423715
2025-06-17,375.17999267578125,104601.1171875,-0.018495768016268843,-0.020559056941174436,0.1848282707724529,-0.3606086611914992,1.5268995960472336,0,0.012895847722322475,0.0,0.0,yahoo_daily,120,2.25,0.75,0.02829130956828207,0.6298793255444491,-0.00044999999999995044,1.0,0.021601461658685754,32.08797587459722,0.04472232468628203,medium,mid,mid,calm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,3m,6,0.043905908629423715
