beta_window,z_entry,z_exit,rows_aligned,split_ratio,split_date,split_method,returns_corr,price_beta_static,full_return,full_sharpe,full_mdd,is_return,is_sharpe,is_mdd,oos_return,oos_sharpe,oos_mdd
60,2.0,0.75,1057,0.7,2025-01-02,time_cutoff_date,0.7481629777577157,1.7060760611127368,0.358744975019607,0.45731995012527166,-0.4124545104125553,0.18548830704739805,0.41289577606758615,-0.4124545104125553,0.14614793494144673,0.2670937415099485,-0.23764713911103463
60,2.0,1.0,1057,0.7,2025-01-02,time_cutoff_date,0.7481629777577157,1.7060760611127368,0.29688570492922084,0.4218039309231187,-0.42570033853607325,0.2804577746252406,0.48564489993855103,-0.42570033853607325,0.012829732170423824,0.21228693929865564,-0.20798986421711652
60,2.25,0.25,1057,0.7,2025-01-02,time_cutoff_date,0.7481629777577157,1.7060760611127368,0.3759097382475378,0.46853741107516245,-0.5168083838199125,0.9844398965151582,0.8682624571000823,-0.5168083838199125,-0.3066508385243867,-0.9662167105665613,-0.3978036978874927
60,2.25,0.5,1057,0.7,2025-01-02,time_cutoff_date,0.7481629777577157,1.7060760611127368,0.6800817395886416,0.6137941852776462,-0.5168083838199125,1.0167381705460437,0.9166193656591791,-0.5168083838199125,-0.16693115441269668,-0.48745426602329905,-0.2453004314787156
60,2.25,0.75,1057,0.7,2025-01-02,time_cutoff_date,0.7481629777577157,1.7060760611127368,0.8405171505462288,0.7145483479416576,-0.3503629277297501,1.266521745809111,1.0982025419700614,-0.3503629277297501,-0.1879552208358829,-0.7531854287505613,-0.24926740892220134
60,2.25,1.0,1057,0.7,2025-01-02,time_cutoff_date,0.7481629777577157,1.7060760611127368,0.6547630900604191,0.6282721878521498,-0.35036292772974986,0.9454812033545117,0.9391823878898493,-0.35036292772974986,-0.14943249659406654,-0.5939843922471189,-0.22006218917729792
90,1.5,0.25,1057,0.7,2025-01-02,time_cutoff_date,0.7481629777577157,1.7060760611127368,-0.3606840582808468,0.04563031387145381,-0.6108144297865004,0.020634823727842644,0.33424850306512854,-0.6108144297865004,-0.37360951551303334,-1.1892194439438937,-0.5402112975275343
90,1.5,0.5,1057,0.7,2025-01-02,time_cutoff_date,0.7481629777577157,1.7060760611127368,-0.24161419228927983,0.11361320829092036,-0.5954290522900632,-0.06795403348008278,0.2420875382488374,-0.5954290522900632,-0.18632145306911319,-0.6104738165151646,-0.4133689326048682
90,1.5,0.75,1057,0.7,2025-01-02,time_cutoff_date,0.7481629777577157,1.7060760611127368,0.3049810584640289,0.4321297876709962,-0.45549001718248516,0.3843176069189622,0.5573831641136318,-0.45549001718248516,-0.05731094371580614,-0.29946064136801986,-0.30065791961964305
90,1.5,1.0,1057,0.7,2025-01-02,time_cutoff_date,0.7481629777577157,1.7060760611127368,0.3156006335958519,0.4352303109702036,-0.45709452880877655,0.3054960319610103,0.5040988422795607,-0.45709452880877655,0.0077400477576823334,-0.13466276572643768,-0.3034818456028703
90,1.75,0.25,1057,0.7,2025-01-02,time_cutoff_date,0.7481629777577157,1.7060760611127368,-0.16823054443281016,0.1856718828104578,-0.5765482450037791,0.1631409786782787,0.4280914309266336,-0.5765482450037791,-0.28489368802708626,-0.9079849156692709,-0.5014771528210529
90,1.75,0.5,1057,0.7,2025-01-02,time_cutoff_date,0.7481629777577157,1.7060760611127368,-0.03717581164055905,0.24743721950254519,-0.5816935622802533,-0.025139956538485997,0.2671620695955223,-0.5816935622802533,-0.01234623901430909,-0.12461611322234889,-0.323732952194431
90,1.75,0.75,1057,0.7,2025-01-02,time_cutoff_date,0.7481629777577157,1.7060760611127368,0.14559798286006842,0.3348119293302972,-0.4554900171824853,0.07136689098899573,0.3187991078419581,-0.4554900171824853,0.06928634111751375,0.037697256996107896,-0.2224578498886257
