date,vol_regime,ret_roll40,ret_mlbeta,beta_roll40,beta_ml
2023-08-01,low,0.024419527246144206,0.024470396851255797,1.1673632529102456,1.1706999985030468
2023-08-02,low,0.043065352087303325,0.042809468631040584,1.1615240823163901,1.1760218182372535
2023-08-03,low,0.043806242689964504,0.04384136434981384,1.1345430403986465,1.172860340007163
2023-08-04,low,-0.00045,-0.00045,1.11118475061957,1.161801718475413
2023-08-07,low,-0.0,-0.0,1.1307916867182461,1.1406034229139803
2023-08-08,low,0.0,0.0,1.1314575722473796,1.1297627784726159
2023-08-09,low,-0.0,-0.0,1.1452691048590335,1.1383622720347146
2023-08-10,low,0.0,0.0,1.1650029373945552,1.1432237224766133
2023-08-11,low,0.0,0.0,1.1669900064776944,1.1603039778823219
2023-08-14,low,0.0,0.0,1.219140387261009,1.1753026197638428
2023-08-15,low,-0.0,-0.0,1.2528014124677742,1.18539685132169
2023-08-16,low,0.0,0.0,1.247645493345735,1.220546614622705
2023-08-17,low,0.0,0.0,1.4443580689433835,1.2352624097026714
2023-08-18,low,-0.0,-0.0,1.415555787212811,1.2798521487478411
2023-08-21,low,0.0,0.0,1.4535304370079318,1.3751572908077556
2023-08-22,low,-0.0,-0.0,1.5518906506931607,1.365404112906838
2023-08-23,low,0.0,0.0,1.5042516154576473,1.4080869358875956
2023-08-24,low,-0.0,-0.0,1.487434085981873,1.4537385225928288
2023-08-25,low,0.0,0.0,1.5314616229460327,1.389650898012159
2023-08-28,low,0.0,0.0,1.5049122037748528,1.4045725283936068
2023-08-29,low,0.0,0.0,1.5131541434085145,1.417658013442683
2023-08-30,low,-0.0,-0.0,1.4419830914791099,1.3905696365698257
2023-08-31,low,0.0,0.0,1.4791542563079612,1.3929974052814316
2023-09-01,low,-0.0,-0.0,1.4130286236942096,1.3741484644896083
2023-09-05,low,-0.0,-0.0,1.4286572338399377,1.371098767878828
2023-09-06,low,0.0,0.0,1.4033304890871512,1.350330274915572
2023-09-07,low,-0.0,-0.0,1.4043083098704292,1.3527879514338697
2023-09-08,low,0.0,0.0,1.3781178561493665,1.3574600537559656
2023-09-11,low,-0.0,0.0,1.1954983872505736,1.345098156313473
2023-09-12,low,-0.0,-0.0,1.278515552461105,1.3052025826535896
2023-09-13,low,-0.0,-0.0,1.2429235517770378,1.2293247243833503
2023-09-14,low,-0.0,-0.0,1.2062902506126396,1.2682564723565166
2023-09-15,low,-0.0,-0.0,1.2029477126836636,1.241917171744712
2023-09-18,low,-0.0,-0.0,1.1961333685089066,1.2270806664350422
2023-09-19,low,-0.0,-0.0,1.1985028713638037,1.2622380702534413
2023-09-20,low,-0.0,-0.0,1.2000248950705341,1.2387889858233105
2023-09-21,low,0.0,0.0,1.1977026625549712,1.2438408611673393
2023-09-22,low,-0.0,-0.0,1.1845807462151985,1.24845770550966
2023-09-25,low,0.0,0.0,1.178963827761201,1.2414581112615877
2023-09-26,low,-0.0,-0.0,1.1570790466611314,1.2303406984148713
2023-09-27,low,-0.0,-0.0,1.1583804414093475,1.217505145909574
2023-09-28,low,0.0,0.0,1.1763628376941666,1.2013660411528582
2023-09-29,low,0.0,0.0,1.166565539791749,1.2028394149485038
2023-10-02,low,-0.0,-0.0,1.172263119802009,1.207587392841778
