date,vol_regime,rolling_beta,ou_kappa,ou_half_life,ou_b,hedged_ret
2024-05-10,high,1.326784394216125,0.07257082600402148,9.551319982516594,0.9299998761526652,-0.01831112242965037
2024-05-13,high,1.3296897835042447,0.07167945485917133,9.670095593245957,0.930829220779004,0.00934708127372097
2024-05-14,high,1.3786286144103037,0.07187520428874711,9.643759449717008,0.9306470293225226,0.07102899041930606
2024-05-15,high,1.3078312349791068,0.07034476669523104,9.85357139022165,0.9320724169777017,0.058452886275063204
2024-05-16,high,1.4500103618143554,0.0658938187808543,10.519153289099428,0.9362302690854369,-0.019562042643427112
2024-05-17,high,1.5495116021818474,0.06683352999059228,10.371248992197705,0.9353508962496484,0.05712321945090449
2024-05-20,high,1.6410313785176045,0.06162735567069755,11.24739448928719,0.9402331940850196,-0.017510576597300417
2024-05-21,high,1.617692822676252,0.06260717721447616,11.07136931258537,0.9393123845334661,-0.011882724826886886
2024-05-22,high,1.4945974284678094,0.06272930521346087,11.04981440813416,0.939197675196275,0.016525942135361883
2024-05-23,high,1.4888666632748773,0.06031783349653124,11.491579527633512,0.9414652568322381,-0.036803594114359586
2024-05-24,high,1.5077289177761084,0.06259777187481853,11.07303279014601,0.9393212191270334,0.07792765306209451
2024-05-28,high,1.5787189159596118,0.055889491312996455,12.402102153303405,0.945643631952569,-0.0003364332304209329
2024-05-29,high,1.5728671025747896,0.05591033467254709,12.397478652552085,0.9456239217677553,-0.017275406943616907
2024-05-30,high,1.6631958509930478,0.05696987656929157,12.166906833945502,0.9446225242090961,-0.06736813915735619
2024-05-31,high,1.6463835087299805,0.06148833642652493,11.272823771841946,0.9403639136790664,0.010323907327754737
2024-06-03,high,1.694725770348969,0.06027552011488083,11.49964661008078,0.9415050942537831,0.03453208005344247
2024-06-04,high,1.6859563563842102,0.05696429400108559,12.16809920520977,0.944627797643486,-0.036218820008889215
2024-06-05,high,1.7263783958813417,0.05904890295019486,11.738527659770146,0.9426606691421419,0.02152276403790393
2024-06-06,high,1.737233214425804,0.0577499879964532,12.002551075898335,0.9438859007451547,-0.014499486933534499
2024-06-07,high,1.7147472134094874,0.05854344719567825,11.83987642960516,0.943137262840283,-0.0021964172080390573
2024-06-10,high,1.7175365736608146,0.05790764721902078,11.969872958890807,0.9437371001580513,-0.0018725656630219885
2024-06-11,high,1.7420854175924043,0.058135781723827946,11.922901180768797,0.9435218257187361,0.026870251031750864
2024-06-12,mid,1.7155215157239359,0.0562945806297866,12.312858054993434,0.9452606393981078,0.007810248085657084
2024-06-13,mid,1.725949654917717,0.056629225539090014,12.240096415965988,0.9449443656598181,-0.03714429069377488
2024-06-14,mid,1.7714034014346494,0.05879502032118456,11.789215766461703,0.942900024693911,0.027634690320384927
2024-06-17,mid,1.8176063421640054,0.0553256089172535,12.528505227961164,0.946177014117547,-0.005358177185121989
2024-06-18,mid,1.8207929104917098,0.054694564644978565,12.673054170174883,0.9467742821343244,0.01185800264960924
2024-06-20,mid,1.75951887716017,0.05346396205980618,12.964755208089008,0.9479401021969602,0.005687309897972257
2024-06-21,mid,1.7629949911310248,0.05337793796190876,12.985649259336034,0.9480216513966604,0.03244803645730571
2024-06-24,mid,1.7492631389531852,0.050221048369385964,13.801925747581127,0.9510191800254715,0.028998157048879952
2024-06-25,mid,1.7111686134455384,0.04741380399896685,14.619100812393137,0.9536926740845995,0.046715147307815154
2024-06-26,mid,1.7573457989571435,0.04351144724136275,15.930225825746088,0.9574215941921621,0.002832935932544828
