beta_window,z_entry,z_exit,z_window,vol_window,quantile_lookback,min_history,mode,oos_ratio,split_date,is_return,is_sharpe,is_mdd,oos_return,oos_sharpe,oos_mdd,full_return,full_sharpe,full_mdd,oos_active_ratio
60,2.25,1.0,30,40,126,126,low_only,0.8,2025-05-16,0.4067098874465862,0.8707857683270849,-0.24153550489469533,0.02426024187995446,0.29477265404331743,-0.11018151258654563,0.4408370095709657,0.7365264772675043,-0.2978230637731899,0.19811320754716982
60,2.25,1.0,30,30,252,84,low_only,0.8,2025-05-16,0.18200523797276924,0.5176868943813755,-0.1609516202698984,0.023799324771108576,0.2913514115266999,-0.11018151258654563,0.21013616451243577,0.4560338073657287,-0.2050225697577518,0.2028301886792453
60,2.25,1.0,30,30,252,126,low_only,0.8,2025-05-16,0.18200523797276924,0.5176868943813755,-0.1609516202698984,0.023799324771108576,0.2913514115266999,-0.11018151258654563,0.21013616451243577,0.4560338073657287,-0.2050225697577518,0.2028301886792453
120,2.25,1.0,30,40,252,84,low_only,0.8,2025-05-16,0.059355892712301905,0.23924776006053455,-0.253321913107039,0.022079741884878823,0.2811231672813148,-0.09659022942034301,0.08274619738761513,0.24757940090906766,-0.2996132794968398,0.21226415094339623
120,2.25,1.0,30,40,252,126,low_only,0.8,2025-05-16,0.059355892712301905,0.23924776006053455,-0.253321913107039,0.022079741884878823,0.2811231672813148,-0.09659022942034301,0.08274619738761513,0.24757940090906766,-0.2996132794968398,0.21226415094339623
120,1.75,1.0,30,30,126,84,low_only,0.8,2025-05-16,-0.15241032504033614,-0.20856524802027357,-0.2846583876916553,0.02194405383647058,0.273558342863474,-0.1505230320972606,-0.13381077158178456,-0.10032032439274643,-0.31130025436262754,0.29245283018867924
120,1.75,1.0,30,30,126,126,low_only,0.8,2025-05-16,-0.15241032504033614,-0.20856524802027357,-0.2846583876916553,0.02194405383647058,0.273558342863474,-0.1505230320972606,-0.13381077158178456,-0.10032032439274643,-0.31130025436262754,0.29245283018867924
60,1.75,0.75,30,40,252,84,low_only,0.8,2025-05-16,0.23185529614966827,0.5571590675889893,-0.18161461851477234,0.018884642640225158,0.2533286720599279,-0.17954544456639565,0.2551184432019238,0.4778019117705827,-0.22927456341574526,0.33962264150943394
60,1.75,0.75,30,40,252,84,high_low_only,0.8,2025-05-16,0.036290687526496335,0.22991032507370443,-0.3962352786642829,0.018884642640225158,0.2533286720599279,-0.17954544456639565,0.05586066683182733,0.23107226033282377,-0.3962352786642829,0.33962264150943394
60,1.75,0.75,30,40,252,126,low_only,0.8,2025-05-16,0.23185529614966827,0.5571590675889893,-0.18161461851477234,0.018884642640225158,0.2533286720599279,-0.17954544456639565,0.2551184432019238,0.4778019117705827,-0.22927456341574526,0.33962264150943394
60,1.75,0.75,30,40,252,126,high_low_only,0.8,2025-05-16,0.2825531922989357,0.4688213296399479,-0.3962352786642831,0.018884642640225158,0.2533286720599279,-0.17954544456639565,0.306773751002581,0.4333759289957827,-0.3962352786642831,0.33962264150943394
90,2.25,1.0,30,40,252,84,low_only,0.8,2025-05-16,0.07352589791629605,0.26567911933945,-0.25056268732907894,0.015879320506549277,0.23345627489536083,-0.09671759287716053,0.09057275972139012,0.2570710845114728,-0.2969066875401336,0.21226415094339623
90,2.25,1.0,30,40,252,84,high_low_only,0.8,2025-05-16,0.11782063054156833,0.30739343690811055,-0.4220508348863591,0.015879320506549277,0.23345627489536083,-0.09671759287716053,0.1355708626027714,0.29354354487743006,-0.4220508348863591,0.21226415094339623
90,2.25,1.0,30,40,252,126,low_only,0.8,2025-05-16,0.07352589791629605,0.26567911933945,-0.25056268732907894,0.015879320506549277,0.23345627489536083,-0.09671759287716053,0.09057275972139012,0.2570710845114728,-0.2969066875401336,0.21226415094339623
90,2.25,1.0,30,40,252,126,high_low_only,0.8,2025-05-16,0.23205661107293474,0.4368824680295207,-0.4220508348863592,0.015879320506549277,0.23345627489536083,-0.09671759287716053,0.25162083288237436,0.4037826059883466,-0.4220508348863592,0.21226415094339623
90,2.25,1.0,30,40,126,84,low_only,0.8,2025-05-16,0.22916814083206027,0.5786638971536441,-0.2432397091059897,0.015113634405029996,0.22710439757463843,-0.09215308295664715,0.24774533873490712,0.4996044548841036,-0.29739957892306357,0.19339622641509435
90,2.25,1.0,30,40,126,126,low_only,0.8,2025-05-16,0.22916814083206027,0.5786638971536441,-0.2432397091059897,0.015113634405029996,0.22710439757463843,-0.09215308295664715,0.24774533873490712,0.4996044548841036,-0.29739957892306357,0.19339622641509435
90,1.75,0.75,30,40,252,84,low_only,0.8,2025-05-16,-0.045836335125338246,0.005740166779667939,-0.2584239503522646,0.010996688082792527,0.20087798667871823,-0.16267225362220805,-0.035343694922778335,0.05193534817967246,-0.32570325830320956,0.3632075471698113
90,1.75,0.75,30,40,252,84,high_low_only,0.8,2025-05-16,-0.07743016259298219,0.11431133217747273,-0.4311773332831609,0.010996688082792527,0.20087798667871823,-0.16267225362220805,-0.06728494985642486,0.12457948925381854,-0.4311773332831609,0.3632075471698113
90,1.75,0.75,30,40,252,126,low_only,0.8,2025-05-16,-0.045836335125338246,0.005740166779667939,-0.2584239503522646,0.010996688082792527,0.20087798667871823,-0.16267225362220805,-0.035343694922778335,0.05193534817967246,-0.32570325830320956,0.3632075471698113
90,1.75,0.75,30,40,252,126,high_low_only,0.8,2025-05-16,0.016852110524300468,0.2096418357602055,-0.4311773332831609,0.010996688082792527,0.20087798667871823,-0.16267225362220805,0.02803411601006478,0.2062361773973933,-0.4311773332831609,0.3632075471698113
60,2.0,1.0,30,30,252,84,low_only,0.8,2025-05-16,0.0061757974802407745,0.10308589700873547,-0.20377921619963968,0.010000096941332748,0.19831056737899352,-0.15532586358943168,0.016237652995066076,0.12728556061275123,-0.30429537610941726,0.3018867924528302
60,2.0,1.0,30,30,252,126,low_only,0.8,2025-05-16,0.0061757974802407745,0.10308589700873547,-0.20377921619963968,0.010000096941332748,0.19831056737899352,-0.15532586358943168,0.016237652995066076,0.12728556061275123,-0.30429537610941726,0.3018867924528302
120,2.25,0.5,30,40,126,84,low_only,0.8,2025-05-16,0.3419830244914863,0.7937152225384377,-0.2525030497671926,0.009257809908974624,0.1887501644245636,-0.16243183708097908,0.35440684823329893,0.6289802390328573,-0.3459820328656934,0.27358490566037735
