date,asset_ret,btc_ret,beta_true,hedged_true,rolling_vol,vol_regime,beta_l1,beta_diff_5,beta_mean_20,beta_std_20,time_idx,reg_high,reg_mid,reg_low,intercept,beta_pred,slope_coef_time,hedged_model
2022-06-03,-0.07052274743101683,-0.02504629358369581,1.692630520229727,-0.028128626492619317,0.05544775860656032,unknown,1.697085432444806,0.03323866098961803,1.617953120609123,0.11188997495603695,0.0985781990521327,0.0,0.0,0.0,1.0,,,
2022-06-06,0.03617641488970924,0.056095453060653444,1.709595194063086,-0.059724102071575316,0.0561286752492168,unknown,1.692630520229727,0.04762691265880936,1.6380919709773305,0.08625232874420549,0.0995260663507109,0.0,0.0,0.0,1.0,,,
2022-06-07,0.019367964758445932,-0.006859698773187373,1.661378754103102,0.030764522559766548,0.05637349466340654,unknown,1.709595194063086,0.00010687265109665667,1.6514615867865394,0.06437131206526485,0.1004739336492891,0.0,0.0,0.0,1.0,,,
2022-06-08,-0.029625018437703488,-0.03020730515832104,1.6677348055895338,0.020752755757892774,0.05621636194455248,unknown,1.661378754103102,-0.03251779831004331,1.6619906977203627,0.04531831115931621,0.1014218009478673,0.0,0.0,0.0,1.0,,,
2022-06-09,-0.06496631530032038,-0.003387708269364409,1.7161536199888352,-0.059152487490384535,0.05688267520905611,unknown,1.6677348055895338,0.01906818754402928,1.67312382868868,0.02415278051308133,0.1023696682464455,0.0,0.0,0.0,1.0,,,
2022-06-10,-0.06612778693331245,-0.03414563715680452,1.7165250671543524,-0.007515944819700422,0.05674538847868722,unknown,1.7161536199888352,0.02389454692462545,1.6771744816978118,0.02430577351298533,0.1033175355450237,0.0,0.0,0.0,1.0,,,
2022-06-13,-0.251819442293748,-0.2268071899980847,1.716723981370418,0.13754589992320082,0.06112355049642117,unknown,1.7165250671543524,0.0071287873073320185,1.6816756822343393,0.022752573512786815,0.10426540284360189,0.0,0.0,0.0,1.0,,,
2022-06-14,0.031022025457556834,-0.012477914053041661,1.477918227022232,0.04946336207176396,0.061501208818274276,unknown,1.716723981370418,-0.18346052708087002,1.6719572806805423,0.05097775837059732,0.1052132701421801,0.0,0.0,0.0,1.0,,,
2022-06-15,0.09224201429240853,0.01648355417709846,1.4892267764331042,0.06769426404108776,0.06212574523178604,unknown,1.477918227022232,-0.1785080291564296,1.6641152379094226,0.0652388791455101,0.1061611374407583,0.0,0.0,0.0,1.0,,,
2022-06-16,-0.05836348515125711,-0.09707194434960298,1.4979049924973522,0.08704106492143834,0.06319385856134918,unknown,1.4892267764331042,-0.218248627491483,1.654973920842646,0.0748839780393585,0.10710900473933649,0.0,0.0,0.0,1.0,,,
2022-06-17,0.03880001366613928,0.004407495444594733,1.4478860312755877,0.032418462578999774,0.06317063862648399,unknown,1.4979049924973522,-0.2686390358787647,1.6424636869490399,0.0871902972339432,0.1080568720379147,0.0,0.0,0.0,1.0,,,
2022-06-21,0.0677804095496255,0.011680406403763444,1.4514758552430735,0.050826581675136276,0.06340457769401757,unknown,1.4478860312755877,-0.2652481261273445,1.6306858749291293,0.09628807719546176,0.10900473933649289,0.0,0.0,0.0,1.0,,,
2022-06-22,-0.044982136192111,-0.034937106663198714,1.4599841536143237,0.00602548590929252,0.06330988196199551,unknown,1.4514758552430735,-0.017934073407908313,1.6207060610241648,0.10322910924797996,0.10995260663507109,0.0,0.0,0.0,1.0,,,
2022-06-23,0.10180795807783527,0.05497803800296652,1.4564208819955127,0.021736795479171955,0.06311902734170516,unknown,1.4599841536143237,-0.03280589443759152,1.609982036530654,0.1087340279178954,0.11090047393364928,0.0,0.0,0.0,1.0,,,
2022-06-24,0.09096709192983155,0.006913598955313738,1.461942946272483,0.08085980470375381,0.06357524977463491,unknown,1.4564208819955127,-0.035962046224869315,1.600173593264675,0.11293073646422902,0.11184834123222749,0.0,0.0,0.0,1.0,,,
2022-06-27,-0.04239681967450848,-0.02336971400311738,1.4940225262540008,-0.007481940521737548,0.06359792301973034,unknown,1.461942946272483,0.0461364949784131,1.5919051266153694,0.11441097865899333,0.11279620853080569,0.0,0.0,0.0,1.0,,,
