date,asset_close,btc_close,spread,z,rolling_beta,position,hedged_ret,fee_cost,strategy_ret_gross,strategy_ret_net,equity_curve_gross,equity_curve_net,source,a_ret,b_ret,rolling_vol,rolling_corr,drawdown_depth,signal_density,ou_kappa,ou_half_life,ou_sigma,ou_regime,vol_regime,corr_regime,dd_regime
2026-01-10 04:00:00,157.89,90657.0,-0.0588544301342599,-1.0985599079312929,1.4831162918376737,-1,-4.531691679760842e-05,0.0,4.531691679760842e-05,4.531691679760842e-05,1.141803452108924,1.1341442733881462,hyperliquid_4h,0.00038015586390405254,0.0002868775584512484,0.017681994355244424,0.5906100446624009,0.0,7.0,,,,,high,mid,calm
2026-01-10 08:00:00,158.3,90715.0,-0.0568041542935588,-0.9611699173546074,1.4850883115956122,-1,0.0016466235405939,0.0,-0.0016466235405939,-0.0016466235405939,1.13992333166595,1.1322767647291554,hyperliquid_4h,0.0025967445690038282,0.0006397740935615293,0.017683608585357526,0.589926386875493,-0.0016466235405937502,7.0,,,,,high,mid,calm
2026-01-10 12:00:00,158.13,90646.0,-0.0572324971403039,-0.9276933601474324,1.4904120917821204,-1,5.973280878847527e-05,0.0,-5.973280878847527e-05,-5.973280878847527e-05,1.139855240843546,1.1322091306576725,hyperliquid_4h,-0.0010739102969047343,-0.0007606239320949726,0.017580445285662147,0.571442980434789,-0.0017062579919331355,7.0,,,,,high,mid,calm
2026-01-10 16:00:00,158.05,90603.0,-0.0573356194382874,-0.9182307623344884,1.4780349615076305,-1,0.000195226778386,0.0,-0.000195226778386,-0.000195226778386,1.1396327105770496,1.1319880931166346,hyperliquid_4h,-0.0005059128565103599,-0.0004743728349844156,0.01717193960768043,0.6038681795202505,-0.0019011516630683678,6.0,,,,,high,mid,calm
2026-01-10 20:00:00,158.5,90485.0,-0.0533857980830001,-0.7127327116581331,1.4902797094502065,-1,0.0047881183873087,0.0,-0.0047881183873087,-0.0047881183873087,1.134176014240757,1.1265680001137683,hyperliquid_4h,0.002847200253084381,-0.0013023851307352174,0.017131691354960846,0.6117820481761203,-0.006680167111142055,5.0,,,,,high,mid,calm
2026-01-11 00:00:00,158.6,90712.0,-0.0548827289616165,-0.7565502046597032,1.487854421549942,-1,-0.003101670173135,0.0,0.003101670173135,0.003101670173135,1.1376938541552128,1.1300622424777296,hyperliquid_4h,0.0006309148264984632,0.002508703099961318,0.017141439001915264,0.6101057553931287,-0.003599216613087264,5.0,,,,,high,mid,calm
2026-01-11 04:00:00,158.15,90676.0,-0.0573870197312524,-0.8392614731296737,1.4884371662816724,-1,-0.0022466248485566,0.0,0.0022466248485566,0.0022466248485566,1.1402498254380082,1.1326010683920955,hyperliquid_4h,-0.0028373266078183246,-0.00039686039333275414,0.017147074925595928,0.6109755241277895,-0.0013606778540088404,5.0,,,,,high,mid,calm
2026-01-11 08:00:00,158.94,90703.0,-0.0526570110229895,-0.6085277848134204,1.4943823114754975,-1,0.0045502852108867,0.0,-0.0045502852108867,-0.0045502852108867,1.1350613635206015,1.1274474105007566,hyperliquid_4h,0.004995257666772002,0.00029776346552568,0.017157866213661447,0.6188240148293074,-0.005904771592579738,5.0,,,,,high,mid,calm
2026-01-11 12:00:00,159.02,90837.0,-0.05340739731189,-0.6848176225476206,1.5028773309892205,-1,-0.0017169399566091,0.0,0.0017169399566091,0.0017169399566091,1.1370101957288334,1.129383170008821,hyperliquid_4h,0.0005033345916698462,0.0014773491505242209,0.016538881130657754,0.6296993836604432,-0.0041979697742525746,4.0,,,,,high,mid,calm
2026-01-11 16:00:00,158.76,90661.0,-0.0533968567870291,-0.7808564782869244,1.5026220591349837,-1,0.0012763705712284,0.0,-0.0012763705712284,-0.0012763705712284,1.1355589493758185,1.127941658566981,hyperliquid_4h,-0.0016350144635896013,-0.0019375364664179218,0.016355409573946485,0.5965181442104422,-0.005468982180402371,4.0,,,,,high,mid,calm
2026-01-11 20:00:00,158.81,90997.0,-0.0562232675705622,-0.8621306127199462,1.5093098104626088,-1,-0.0052787334052201,0.0,0.0052787334052201,0.0052787334052201,1.1415532623354854,1.133895761879198,hyperliquid_4h,0.0003149407911313684,0.0037061139850651514,0.011142082126022848,0.17220267480085918,-0.00021911807411056916,3.0,,,,,high,low,calm
