date,vol_regime,zscore,beta_roll,beta_kalman_used,beta_kalman_post,beta_uncertainty,innovation_z,beta_velocity,beta_stable,pos_baseline,ret_baseline,pos_kalman,ret_kalman,pos_kalman_stable,ret_kalman_stable
2024-03-05,high,0.465776489388963,1.273896916526572,1.3320030012172297,1.4180805745236045,0.1267232960475083,3.1647203735439486,0.12467240083908715,0,0,0.1272533445882666,0,0.12340183944368484,0,-0.0
2024-03-06,high,2.281643222301768,1.3589908555613246,1.4180805745236045,1.4690986253353107,0.124703219390769,3.4941041472674295,0.08607757330637478,0,-1,-0.00045,-1,-0.00045,0,0.0
2024-03-07,high,2.3104820566560225,1.3987710135493028,1.4690986253353107,1.4723906893313852,0.12477815948981606,0.6531362445425749,0.051018050811706184,0,-1,-0.025856235583825608,-1,-0.02498528459002456,0,0.0
2024-03-08,high,2.690391560834763,1.3934055912002694,1.4723906893313852,1.487039233340347,0.1256028430854364,1.731891087160293,0.0032920639960745124,0,-1,-0.06797115858818237,-1,-0.06634885196776313,0,0.0
2024-03-11,high,1.7768040469075395,1.3999321613025217,1.487039233340347,1.4621684284338388,0.12623955426421274,1.0835514969074327,0.014648544008961872,0,-1,0.03724201930194759,-1,0.04211874922439569,0,-0.0
2024-03-12,high,2.4841402553217056,1.3798408031764562,1.4621684284338388,1.4539197563476447,0.12506587672390052,2.263307972619206,0.02487080490650828,0,-1,-0.08581386910562404,-1,-0.08654740046501921,0,0.0
2024-03-13,high,2.6971323100767934,1.3653498997541518,1.4539197563476447,1.4722785000094945,0.12593681617665164,1.979325430715036,0.008248672086194064,0,-1,-0.07784722341848767,-1,-0.07586198231794143,0,0.0
2024-03-14,high,2.2522561659090004,1.379161969722799,1.4722785000094945,1.4764465427070195,0.12651459216999017,0.4324829214152256,0.018358743661849752,0,-1,0.018728317494543838,-1,0.016579010784835896,0,-0.0
2024-03-15,high,2.718505114874189,1.4042221774232306,1.4764465427070195,1.4446018444670272,0.12706278689412226,2.712670917065043,0.004168042697525021,0,-1,-0.10211614131499365,-1,-0.10413206637017114,0,0.0
2024-03-18,high,1.5822105209866673,1.3700585387570714,1.4446018444670272,1.4794595880613355,0.12743246331252572,3.0816252530194905,0.03184469823999225,0,-1,0.12024862773428907,-1,0.11825606710332068,0,-0.0
2024-03-19,high,2.046008627670961,1.41269443402276,1.4794595880613355,1.4217049819483707,0.1278396409351667,1.6808287684374257,0.034857743594308266,0,-1,-0.061130527073509335,-1,-0.06670098221415086,0,0.0
2024-03-20,high,1.4176392778139397,1.3660446507650617,1.4217049819483707,1.3782335255991982,0.12407336744609947,1.167436247444879,0.05775460611296479,0,-1,0.04138459160089286,-1,0.04677947178286099,0,-0.0
2024-03-21,high,1.921221000649832,1.3309673192963007,1.3782335255991982,1.3496380890137325,0.11932946175104915,2.165387936764681,0.04347145634917249,0,-1,-0.08159351979920196,-1,-0.08327936658270192,0,0.0
2024-03-22,high,1.7252217796504095,1.3042139739375835,1.3496380890137325,1.3527924031345235,0.11957015068262057,0.32355977325880153,0.028595436585465706,0,-1,0.013596630196885569,-1,0.012408769444841275,0,-0.0
