coin,direction,entry_hour,exit_hour,hold_hours,entry_price,exit_price,entry_fr,exit_fr,price_pnl,funding_pnl,fees,net_pnl
ONDO,LONG,2025-06-30 09:00:00+00:00,2025-06-30 17:00:00+00:00,8.0,0.7647,0.7693,-1.42223e-05,-2.8885e-06,0.6015430887929825,0.012448771390087616,0.09,0.5239918601830701
ETC,LONG,2025-06-30 07:00:00+00:00,2025-06-30 18:00:00+00:00,11.0,16.74,16.569,-1.40058e-05,2.4535e-06,-1.0215053763440824,0.00853675652270012,0.09,-1.1029686198213824
AIXBT,LONG,2025-06-30 13:00:00+00:00,2025-06-30 20:00:00+00:00,7.0,0.12716,0.1335,-1.4067e-05,1.4741e-06,4.985844605221778,0.0014013067041522488,0.09,4.89724591192593
MAV,LONG,2025-06-29 11:00:00+00:00,2025-06-30 20:00:00+00:00,33.0,0.04479,0.04609,-1.42492e-05,1.5758e-06,2.9024335789238567,-0.040502352359901767,0.09,2.771931226563955
CELO,LONG,2025-06-30 18:00:00+00:00,2025-06-30 21:00:00+00:00,3.0,0.259,0.262,-1.48792e-05,1.54e-08,1.1583011583011593,-0.00038427204633204644,0.09,1.0679168862548272
BLUR,LONG,2025-06-30 18:00:00+00:00,2025-06-30 23:00:00+00:00,5.0,0.07068,0.07117,-1.47337e-05,2.6929e-06,0.693265421618549,-0.0007069799731182799,0.09,0.6025584416454307
GMT,LONG,2025-06-30 20:00:00+00:00,2025-07-01 01:00:00+00:00,5.0,0.04442,0.04366,-1.45823e-05,-1.6939e-06,-1.710941017559666,-0.001140894729851419,0.09,-1.8020819122895175
OMNI,LONG,2025-06-30 19:00:00+00:00,2025-07-01 01:00:00+00:00,6.0,1.6117,1.5738,-1.45917e-05,3.332e-07,-2.3515542594775596,0.023229949548303038,0.09,-2.4183243099292566
PENGU,LONG,2025-06-30 01:00:00+00:00,2025-07-01 01:00:00+00:00,24.0,0.014216,0.014493,-1.41371e-05,-7.144e-07,1.948508722566131,0.05162423214758018,0.09,1.9101329547137114
ARK,LONG,2025-06-29 12:00:00+00:00,2025-07-01 02:00:00+00:00,38.0,0.3581,0.352,-1.47297e-05,-1.4633e-06,-1.7034347947500683,0.06379447270315554,0.09,-1.7296403220469128
DOT,LONG,2025-06-30 17:00:00+00:00,2025-07-01 02:00:00+00:00,9.0,3.397,3.378,-1.46805e-05,-2.8425e-06,-0.5593170444509769,-0.0011703662408007061,0.09,-0.6504874106917775
RUNE,LONG,2025-07-01 03:00:00+00:00,2025-07-01 04:00:00+00:00,1.0,1.322,1.308,-1.4485e-05,1.3444e-06,-1.0590015128593049,-0.00013301627836611197,0.09,-1.1491345291376711
MKR,SHORT,2025-06-14 12:00:00+00:00,2025-07-01 05:00:00+00:00,401.0,2082.9,1921.2,1.45001e-05,8.072e-07,7.763214748667726,0.4986944201987613,0.09,8.171909168866486
ETHFI,LONG,2025-06-30 12:00:00+00:00,2025-07-01 06:00:00+00:00,18.0,0.9713,0.9256,-1.47286e-05,9.428e-07,-4.705034489858959,0.011395826796046534,0.09,-4.783638663062913
ORDI,LONG,2025-07-01 08:00:00+00:00,2025-07-01 10:00:00+00:00,2.0,7.241,7.241,-1.40775e-05,5.51e-08,0.0,-0.0003175384850158818,0.09,-0.09031753848501588
XAI,LONG,2025-06-29 21:00:00+00:00,2025-07-01 11:00:00+00:00,38.0,0.0526,0.04919,-1.49452e-05,-1.297e-07,-6.48288973384031,-0.008857135496197719,0.09,-6.581746869336508
ETC,LONG,2025-07-01 13:00:00+00:00,2025-07-01 15:00:00+00:00,2.0,16.166,16.112,-1.45251e-05,1.1835e-06,-0.3340343931708651,0.00091372484040579,0.09,-0.42312066833045925
JUP,LONG,2025-07-01 11:00:00+00:00,2025-07-01 17:00:00+00:00,6.0,0.4386,0.4336,-1.48772e-05,1.6513e-06,-1.1399908800729603,0.0006476512152302782,0.09,-1.2293432288577302
TIA,LONG,2025-06-30 17:00:00+00:00,2025-07-01 17:00:00+00:00,24.0,1.3972,1.3652,-1.48205e-05,1.665e-07,-2.290294875465218,0.0328500284977097,0.09,-2.347444846967508
BLUR,LONG,2025-07-01 04:00:00+00:00,2025-07-01 18:00:00+00:00,14.0,0.06933,0.06796,-1.46248e-05,-1.5608e-06,-1.976056541179859,0.016730617328717723,0.09,-2.049325923851141
