coin,direction,entry_hour,exit_hour,hold_hours,entry_price,exit_price,entry_fr,exit_fr,price_pnl,funding_pnl,fees,net_pnl,year
BANANA,LONG,2025-03-26 01:00:00,2025-03-28 03:00:00,50.0,22.144,22.348,-1.46427e-05,-1.2369e-06,0.9212427745664769,0.25442377000000005,0.09,1.0856665445664768,2025
PYTH,LONG,2025-03-28 00:00:00,2025-03-28 03:00:00,3.0,0.16595,0.16428,-1.48428e-05,2.7551e-06,-1.0063272069900435,0.0015439700000000002,0.09,-1.0947832369900437,2025
DOGE,LONG,2025-03-27 00:00:00,2025-03-28 04:00:00,28.0,0.19605,0.18521,-1.44274e-05,1.7638e-06,-5.529201734251461,0.04004094000000001,0.09,-5.579160794251461,2025
IMX,LONG,2025-03-26 18:00:00,2025-03-28 05:00:00,35.0,0.6398,0.5935,-1.45726e-05,2.5321e-06,-7.2366364488902795,0.15393562000000002,0.09,-7.172700828890279,2025
ALT,LONG,2025-03-27 20:00:00,2025-03-28 05:00:00,9.0,0.03969,0.03685,-1.47124e-05,1.1529e-06,-7.155454774502398,0.011388859999999999,0.09,-7.2340659145023976,2025
STRK,LONG,2025-03-23 20:00:00,2025-03-28 07:00:00,107.0,0.1671,0.1612,-1.48933e-05,2.9943e-06,-3.530819868342303,0.1329781200000001,0.09,-3.4878417483423028,2025
BCH,LONG,2025-03-28 07:00:00,2025-03-28 09:00:00,2.0,312.92,311.29,-1.46643e-05,-7.8e-08,-0.5208999105202593,0.00128416,0.09,-0.6096157505202593,2025
HBAR,SHORT,2024-12-29 17:00:00,2025-03-28 10:00:00,2129.0,0.28235,0.18258,1.47526e-05,-1.571e-06,35.33557641225429,1.6621810799999912,0.09,36.90775749225428,2025
ETC,LONG,2025-03-28 07:00:00,2025-03-28 11:00:00,4.0,17.178,17.192,-1.47185e-05,-1.5676e-06,0.08149959250203367,0.0028750299999999998,0.09,-0.005625377497966322,2025
W,LONG,2025-03-28 09:00:00,2025-03-28 14:00:00,5.0,0.09199,0.09129,-1.49666e-05,1.9411e-06,-0.7609522774214655,0.00474353,0.09,-0.8462087474214655,2025
DOT,LONG,2025-03-27 15:00:00,2025-03-28 15:00:00,24.0,4.571,4.284,-1.45129e-05,-1.491e-07,-6.278713629402755,0.02798451,0.09,-6.340729119402755,2025
ATOM,LONG,2025-03-28 11:00:00,2025-03-28 15:00:00,4.0,4.605,4.555,-1.42999e-05,2.5133e-06,-1.0857763300760197,0.00725613,0.09,-1.1685202000760198,2025
AVAX,LONG,2025-03-28 14:00:00,2025-03-28 15:00:00,1.0,20.185,19.963,-1.40909e-05,-1.0125e-06,-1.0998266039137863,0.0,0.09,-1.1898266039137864,2025
AIXBT,SHORT,2025-01-17 10:00:00,2025-03-28 17:00:00,1687.0,0.76465,0.1152,1.41889e-05,-9.402e-07,84.93428365919048,0.47656227999999534,0.09,85.32084593919048,2025
PIXEL,LONG,2025-03-27 19:00:00,2025-03-28 17:00:00,22.0,0.03894,0.03363,-1.49896e-05,-1.8857e-06,-13.63636363636364,0.03993489,0.09,-13.68642874636364,2025
ETH,LONG,2025-03-28 05:00:00,2025-03-28 17:00:00,12.0,1914.3,1883.18,-1.44312e-05,3.96e-07,-1.6256595100036508,0.015069449999999996,0.09,-1.700590060003651,2025
STRK,LONG,2025-03-28 10:00:00,2025-03-28 18:00:00,8.0,0.1605,0.159,-1.4949e-05,4.01e-07,-0.9345794392523372,0.00682529,0.09,-1.0177541492523372,2025
