hour_idx,hour,n_alpha,n_alpha_long,n_alpha_short,n_hedge,n_hedge_long,n_hedge_short,n_total,funding_paid,funding_received,net_funding,alpha_price_pnl,hedge_price_pnl,fees,positions_opened,positions_closed,hourly_pnl,cumulative_pnl
12372,2024-12-19 11:00:00,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,-2807.791311774821
12373,2024-12-19 12:00:00,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,-2807.791311774821
12374,2024-12-19 13:00:00,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,-2807.791311774821
12375,2024-12-19 14:00:00,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,-2807.791311774821
12376,2024-12-19 15:00:00,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,-2807.791311774821
12377,2024-12-19 16:00:00,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,-2807.791311774821
12378,2024-12-19 17:00:00,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,-2807.791311774821
12379,2024-12-19 18:00:00,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,-2807.791311774821
12380,2024-12-19 19:00:00,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,-2807.791311774821
12381,2024-12-19 20:00:00,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,-2807.791311774821
12382,2024-12-19 21:00:00,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,-2807.791311774821
12383,2024-12-19 22:00:00,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,-2807.791311774821
12384,2024-12-19 23:00:00,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,-2807.791311774821
12385,2024-12-20 00:00:00,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,-2807.791311774821
12386,2024-12-20 01:00:00,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,-2807.791311774821
12387,2024-12-20 02:00:00,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,-2807.791311774821
