date,asset_close,btc_close,spread,z,rolling_beta,position,hedged_ret,fee_cost,strategy_ret_gross,strategy_ret_net,equity_curve_gross,equity_curve_net
2024-08-17 00:00:00,2593.6,59139.0,-0.011013926429890297,-1.2799451521007987,1.182449313140862,0,-0.004476860488126957,0.0,-0.0,-0.0,0.48853995461198574,0.47253482184233103
2024-08-17 04:00:00,2598.3,59249.0,-0.009824570903470331,-1.2587179728307438,1.1829533207415845,0,-0.00038816938887785684,0.0,-0.0,-0.0,0.48853995461198574,0.47253482184233103
2024-08-17 08:00:00,2597.8,59106.0,-0.009209292878090913,-1.1386536122897182,1.183457009428168,0,0.0026638906827820825,0.0,0.0,0.0,0.48853995461198574,0.47253482184233103
2024-08-17 12:00:00,2606.2,59368.0,-0.007459416391749407,-0.9583660969628705,1.1848262623350543,0,-0.002018490813536655,0.0,-0.0,-0.0,0.48853995461198574,0.47253482184233103
2024-08-17 16:00:00,2613.8,59447.0,-0.0049920376793881616,-0.7498019438023509,1.1762202993124355,0,0.0013509465036077783,0.0,0.0,0.0,0.48853995461198574,0.47253482184233103
2024-08-17 20:00:00,2613.0,59468.0,-0.005416211366267909,-0.7314286065979241,1.1793903520050708,0,-0.0007226943250795684,0.0,-0.0,-0.0,0.48853995461198574,0.47253482184233103
2024-08-18 00:00:00,2604.9,59306.0,-0.007609088228519134,-0.8294071985926008,1.1883785086938017,0,0.00013744107693102522,0.0,0.0,0.0,0.48853995461198574,0.47253482184233103
2024-08-18 04:00:00,2606.3,59549.0,-0.00843858727556146,-0.8376348732767148,1.1905534524339878,0,-0.004340716943312897,0.0,-0.0,-0.0,0.48853995461198574,0.47253482184233103
2024-08-18 08:00:00,2647.0,59995.0,0.004562576979371791,0.056960366098005165,1.1906822107479773,0,0.006698237698196436,0.0,0.0,0.0,0.48853995461198574,0.47253482184233103
2024-08-18 12:00:00,2670.9,59858.0,0.014315315304768816,0.7053486985024341,1.1928793345296085,0,0.011753057679844445,0.0,0.0,0.0,0.48853995461198574,0.47253482184233103
2024-08-18 16:00:00,2666.7,59693.0,0.013664246547469894,0.7023231032799102,1.193793540431924,0,0.001718216623714926,0.0,0.0,0.0,0.48853995461198574,0.47253482184233103
2024-08-18 20:00:00,2610.9,58420.0,-0.0002770168594183886,-0.22007664273251498,1.1924881043202613,0,0.004506004808852774,0.0,0.0,0.0,0.48853995461198574,0.47253482184233103
2024-08-19 00:00:00,2643.9,58726.0,0.010536822798310475,0.5992481107238542,1.1902768029566821,0,0.0064047305638223135,0.0,0.0,0.0,0.48853995461198574,0.47253482184233103
2024-08-19 04:00:00,2612.7,58472.0,0.00011476699922408073,-0.10326190780571179,1.1915514177830446,0,-0.006647085097117973,0.0,-0.0,-0.0,0.48853995461198574,0.47253482184233103
2024-08-19 08:00:00,2586.5,58372.0,-0.009391641406457651,-0.8524766971313692,1.1925667471418464,0,-0.007988388612862047,0.0,-0.0,-0.0,0.48853995461198574,0.47253482184233103
2024-08-19 12:00:00,2583.5,58518.0,-0.011387194375530818,-0.9780145438926167,1.194150155924741,0,-0.004146675968998197,0.0,-0.0,-0.0,0.48853995461198574,0.47253482184233103
2024-08-19 16:00:00,2605.8,58936.0,-0.005171711188522998,-0.33473922127346417,1.2009989206582836,0,5.284426756511744e-05,0.0,0.0,0.0,0.48853995461198574,0.47253482184233103
2024-08-19 20:00:00,2636.3,59430.0,0.003674882262956203,0.6484081113496892,1.2044276508033183,0,0.0016091779859196166,0.0,0.0,0.0,0.48853995461198574,0.47253482184233103
2024-08-20 00:00:00,2661.4,60600.0,0.006634083115692135,1.0449039145675643,1.2032078912867503,0,-0.014166666476114354,0.0,-0.0,-0.0,0.48853995461198574,0.47253482184233103
2024-08-20 04:00:00,2673.8,60888.0,0.00969765703277048,1.3284462033565383,1.0080910732060662,0,-0.00013172594886306978,0.0,-0.0,-0.0,0.48853995461198574,0.47253482184233103
2024-08-20 08:00:00,2641.4,60499.0,-0.0003515697924907357,0.25412392822678914,1.0548264402659386,0,-0.005378532028608348,0.0,-0.0,-0.0,0.48853995461198574,0.47253482184233103
2024-08-20 12:00:00,2573.9,58812.0,-0.016785162732946723,-1.5130955982521932,1.054279040003768,0,0.003843686223455569,0.0,0.0,0.0,0.48853995461198574,0.47253482184233103
2024-08-20 16:00:00,2601.1,59477.0,-0.010031349397611855,-0.7859387872441765,1.016086699077078,0,-0.0009214908793166252,0.0,-0.0,-0.0,0.48853995461198574,0.47253482184233103
2024-08-20 20:00:00,2571.1,58977.0,-0.01881007302194959,-1.7297020137432162,1.0133034417714162,0,-0.0030151341278555656,0.0,-0.0,-0.0,0.48853995461198574,0.47253482184233103
2024-08-21 00:00:00,2589.2,59296.0,-0.013598060334394368,-1.1027317508146317,1.0167803060180347,0,0.0015401374073583073,0.0,0.0,0.0,0.48853995461198574,0.47253482184233103
2024-08-21 04:00:00,2598.5,59692.0,-0.012237551192943563,-0.8909086600155904,1.0179823107867816,0,-0.003206608711425101,0.0,-0.0,-0.0,0.48853995461198574,0.47253482184233103
2024-08-21 08:00:00,2575.8,59344.0,-0.019057317297273002,-1.5206489443034183,1.0145199840433365,0,-0.0028212317158504774,0.0,-0.0,-0.0,0.48853995461198574,0.47253482184233103
2024-08-21 12:00:00,2601.1,59520.0,-0.010272922772688098,-0.6001825620210443,1.0050274972841964,0,0.006841521854088977,0.0,0.0,0.0,0.48853995461198574,0.47253482184233103
