t,time,close
1760529600000,2025-10-15 12:00:00,110800.0
1760544000000,2025-10-15 16:00:00,111268.0
1760558400000,2025-10-15 20:00:00,110730.0
1760572800000,2025-10-16 00:00:00,111288.0
1760587200000,2025-10-16 04:00:00,110526.0
1760601600000,2025-10-16 08:00:00,111405.0
1760616000000,2025-10-16 12:00:00,108515.0
1760630400000,2025-10-16 16:00:00,108211.0
1760644800000,2025-10-16 20:00:00,108221.0
1760659200000,2025-10-17 00:00:00,109160.0
1760673600000,2025-10-17 04:00:00,105589.0
1760688000000,2025-10-17 08:00:00,105671.0
1760702400000,2025-10-17 12:00:00,106821.0
1760716800000,2025-10-17 16:00:00,106421.0
1760731200000,2025-10-17 20:00:00,106396.0
1760745600000,2025-10-18 00:00:00,107042.0
1760760000000,2025-10-18 04:00:00,106649.0
1760774400000,2025-10-18 08:00:00,107171.0
1760788800000,2025-10-18 12:00:00,106926.0
1760803200000,2025-10-18 16:00:00,107062.0
1760817600000,2025-10-18 20:00:00,107143.0
1760832000000,2025-10-19 00:00:00,107215.0
1760846400000,2025-10-19 04:00:00,106726.0
1760860800000,2025-10-19 08:00:00,107735.0
1760875200000,2025-10-19 12:00:00,108435.0
1760889600000,2025-10-19 16:00:00,108841.0
1760904000000,2025-10-19 20:00:00,108591.0
1760918400000,2025-10-20 00:00:00,110100.0
1760932800000,2025-10-20 04:00:00,111161.0
1760947200000,2025-10-20 08:00:00,110996.0
1760961600000,2025-10-20 12:00:00,111100.0
1760976000000,2025-10-20 16:00:00,110753.0
1760990400000,2025-10-20 20:00:00,110479.0
1761004800000,2025-10-21 00:00:00,109008.0
1761019200000,2025-10-21 04:00:00,108019.0
1761033600000,2025-10-21 08:00:00,108565.0
1761048000000,2025-10-21 12:00:00,113386.0
1761062400000,2025-10-21 16:00:00,111729.0
1761076800000,2025-10-21 20:00:00,108245.0
1761091200000,2025-10-22 00:00:00,108160.0
1761105600000,2025-10-22 04:00:00,108289.0
1761120000000,2025-10-22 08:00:00,107502.0
1761134400000,2025-10-22 12:00:00,108391.0
1761148800000,2025-10-22 16:00:00,107840.0
1761163200000,2025-10-22 20:00:00,107528.0
1761177600000,2025-10-23 00:00:00,108377.0
1761192000000,2025-10-23 04:00:00,109289.0
1761206400000,2025-10-23 08:00:00,109263.0
1761220800000,2025-10-23 12:00:00,109910.0
1761235200000,2025-10-23 16:00:00,110233.0
1761249600000,2025-10-23 20:00:00,110063.0
1761264000000,2025-10-24 00:00:00,110430.0
1761278400000,2025-10-24 04:00:00,111072.0
1761292800000,2025-10-24 08:00:00,111100.0
1761307200000,2025-10-24 12:00:00,110109.0
1761321600000,2025-10-24 16:00:00,110659.0
1761336000000,2025-10-24 20:00:00,111060.0
1761350400000,2025-10-25 00:00:00,111057.0
1761364800000,2025-10-25 04:00:00,111551.0
1761379200000,2025-10-25 08:00:00,111635.0
1761393600000,2025-10-25 12:00:00,111396.0
1761408000000,2025-10-25 16:00:00,111669.0
1761422400000,2025-10-25 20:00:00,111683.0
1761436800000,2025-10-26 00:00:00,111271.0
1761451200000,2025-10-26 04:00:00,111756.0
1761465600000,2025-10-26 08:00:00,113309.0
1761480000000,2025-10-26 12:00:00,113734.0
1761494400000,2025-10-26 16:00:00,113637.0
1761508800000,2025-10-26 20:00:00,114601.0
1761523200000,2025-10-27 00:00:00,115050.0
1761537600000,2025-10-27 04:00:00,115566.0
1761552000000,2025-10-27 08:00:00,115377.0
1761566400000,2025-10-27 12:00:00,114992.0
1761580800000,2025-10-27 16:00:00,114960.0
1761595200000,2025-10-27 20:00:00,114111.0
1761609600000,2025-10-28 00:00:00,113903.0
1761624000000,2025-10-28 04:00:00,114170.0
1761638400000,2025-10-28 08:00:00,114350.0
1761652800000,2025-10-28 12:00:00,114640.0
1761667200000,2025-10-28 16:00:00,113694.0
1761681600000,2025-10-28 20:00:00,112864.0
1761696000000,2025-10-29 00:00:00,112502.0
1761710400000,2025-10-29 04:00:00,113569.0
1761724800000,2025-10-29 08:00:00,113134.0
1761739200000,2025-10-29 12:00:00,111510.0
1761753600000,2025-10-29 16:00:00,110675.0
1761768000000,2025-10-29 20:00:00,110102.0
1761782400000,2025-10-30 00:00:00,110833.0
1761796800000,2025-10-30 04:00:00,111430.0
1761811200000,2025-10-30 08:00:00,109784.0
1761825600000,2025-10-30 12:00:00,107752.0
1761840000000,2025-10-30 16:00:00,106526.0
1761854400000,2025-10-30 20:00:00,108360.0
