date,equity_usd,cash_usd,option_mtm_usd,hedge_units,spot_close,active_cycles
2024-12-10,0.0,0.0,0.0,-0.0,97409.5,0
2024-12-11,0.0,0.0,0.0,-0.0,100531.0,0
2024-12-12,0.0,0.0,0.0,-0.0,100112.5,0
2024-12-13,0.0,0.0,0.0,-0.0,101838.0,0
2024-12-14,0.0,0.0,0.0,-0.0,101768.5,0
2024-12-15,0.0,0.0,0.0,-0.0,104996.0,0
2024-12-16,0.0,0.0,0.0,-0.0,106902.5,0
2024-12-17,0.0,0.0,0.0,-0.0,104240.5,0
2024-12-18,0.0,0.0,0.0,-0.0,101627.5,0
2024-12-19,0.0,0.0,0.0,-0.0,97672.0,0
2024-12-20,0.0,0.0,0.0,-0.0,98973.5,0
2024-12-21,0.0,0.0,0.0,-0.0,96083.5,0
2024-12-22,0.0,0.0,0.0,-0.0,95323.5,0
2024-12-23,0.0,0.0,0.0,-0.0,94091.0,0
2024-12-24,0.0,0.0,0.0,-0.0,98047.0,0
2024-12-25,0.0,0.0,0.0,-0.0,97686.5,0
2024-12-26,0.0,0.0,0.0,-0.0,95078.5,0
2024-12-27,0.0,0.0,0.0,-0.0,94177.0,0
2024-12-28,0.0,0.0,0.0,-0.0,95152.0,0
2024-12-29,0.0,0.0,0.0,-0.0,93579.5,0
2024-12-30,0.0,0.0,0.0,-0.0,92730.0,0
