date,equity_usd,cash_usd,option_mtm_usd,hedge_units,spot_close,active_cycles
2024-03-07,0.0,0.0,0.0,-0.0,67418.5,0
2024-03-08,0.0,0.0,0.0,-0.0,68462.0,0
2024-03-09,0.0,0.0,0.0,-0.0,69537.0,0
2024-03-10,0.0,0.0,0.0,-0.0,71218.0,0
2024-03-11,0.0,0.0,0.0,-0.0,72189.5,0
2024-03-12,0.0,0.0,0.0,-0.0,72941.0,0
2024-03-13,0.0,0.0,0.0,-0.0,73325.5,0
2024-03-14,0.0,0.0,0.0,-0.0,68388.5,0
2024-03-15,0.0,0.0,0.0,-0.0,69434.5,0
2024-03-16,0.0,0.0,0.0,-0.0,65620.5,0
2024-03-17,0.0,0.0,0.0,-0.0,68188.0,0
2024-03-18,0.0,0.0,0.0,-0.0,64683.5,0
2024-03-19,0.0,0.0,0.0,-0.0,62938.0,0
2024-03-20,0.0,0.0,0.0,-0.0,67030.0,0
2024-03-21,0.0,0.0,0.0,-0.0,66193.0,0
2024-03-22,0.0,0.0,0.0,-0.0,64594.5,0
2024-03-23,0.0,0.0,0.0,-0.0,64627.5,0
2024-03-24,0.0,0.0,0.0,-0.0,66868.5,0
2024-03-25,0.0,0.0,0.0,-0.0,70538.5,0
2024-03-26,0.0,0.0,0.0,-0.0,69761.0,0
2024-03-27,0.0,0.0,0.0,-0.0,70412.5,0
2024-03-28,0.0,0.0,0.0,-0.0,69788.5,0
2024-03-29,0.0,0.0,0.0,-0.0,69950.5,0
2024-03-30,0.0,0.0,0.0,-0.0,70369.0,0
2024-03-31,0.0,0.0,0.0,-0.0,69645.5,0
2024-04-01,0.0,0.0,0.0,-0.0,66487.5,0
2024-04-02,0.0,0.0,0.0,-0.0,66179.5,0
2024-04-03,0.0,0.0,0.0,-0.0,66069.0,0
2024-04-04,0.0,0.0,0.0,-0.0,66900.0,0
2024-04-05,0.0,0.0,0.0,-0.0,68027.0,0
2024-04-06,0.0,0.0,0.0,-0.0,69392.5,0
2024-04-07,0.0,0.0,0.0,-0.0,70734.0,0
2024-04-08,0.0,0.0,0.0,-0.0,70361.5,0
2024-04-09,0.0,0.0,0.0,-0.0,69322.0,0
2024-04-10,0.0,0.0,0.0,-0.0,70735.0,0
2024-04-11,0.0,0.0,0.0,-0.0,70779.0,0
2024-04-12,0.0,0.0,0.0,-0.0,67426.5,0
2024-04-13,0.0,0.0,0.0,-0.0,64487.0,0
2024-04-14,0.0,0.0,0.0,-0.0,66295.0,0
2024-04-15,0.0,0.0,0.0,-0.0,63515.0,0
2024-04-16,0.0,0.0,0.0,-0.0,63300.5,0
2024-04-17,0.0,0.0,0.0,-0.0,61173.5,0
2024-04-18,0.0,0.0,0.0,-0.0,64547.0,0
2024-04-19,0.0,0.0,0.0,-0.0,63981.0,0
2024-04-20,0.0,0.0,0.0,-0.0,65148.5,0
2024-04-21,0.0,0.0,0.0,-0.0,66026.0,0
2024-04-22,0.0,0.0,0.0,-0.0,66105.5,0
2024-04-23,0.0,0.0,0.0,-0.0,66622.0,0
2024-04-24,0.0,0.0,0.0,-0.0,63970.5,0
2024-04-25,0.0,0.0,0.0,-0.0,64302.0,0
2024-04-26,0.0,0.0,0.0,-0.0,62928.5,0
2024-04-27,0.0,0.0,0.0,-0.0,63883.5,0
2024-04-28,0.0,0.0,0.0,-0.0,62389.0,0
2024-04-29,0.0,0.0,0.0,-0.0,63133.0,0
2024-04-30,0.0,0.0,0.0,-0.0,57430.0,0
2024-05-01,0.0,0.0,0.0,-0.0,57604.0,0
2024-05-02,0.0,0.0,0.0,-0.0,59144.5,0
2024-05-03,0.0,0.0,0.0,-0.0,63010.0,0
2024-05-04,0.0,0.0,0.0,-0.0,63776.0,0
2024-05-05,0.0,0.0,0.0,-0.0,64590.0,0
2024-05-06,0.0,0.0,0.0,-0.0,63694.0,0
2024-05-07,0.0,0.0,0.0,-0.0,62199.0,0
2024-05-08,0.0,0.0,0.0,-0.0,61233.0,0
2024-05-09,0.0,0.0,0.0,-0.0,63064.0,0
2024-05-10,0.0,0.0,0.0,-0.0,60988.0,0
2024-05-11,0.0,0.0,0.0,-0.0,60803.5,0
2024-05-12,0.0,0.0,0.0,-0.0,62336.5,0
2024-05-13,0.0,0.0,0.0,-0.0,62009.5,0
2024-05-14,0.0,0.0,0.0,-0.0,62207.0,0
2024-05-15,0.0,0.0,0.0,-0.0,66186.0,0
2024-05-16,0.0,0.0,0.0,-0.0,66431.0,0
2024-05-17,0.0,0.0,0.0,-0.0,66926.5,0
2024-05-18,0.0,0.0,0.0,-0.0,67342.0,0
2024-05-19,0.0,0.0,0.0,-0.0,66840.0,0
2024-05-20,0.0,0.0,0.0,-0.0,70924.0,0
2024-05-21,0.0,0.0,0.0,-0.0,69732.0,0
2024-05-22,0.0,0.0,0.0,-0.0,69712.5,0
2024-05-23,0.0,0.0,0.0,-0.0,67140.0,0
2024-05-24,0.0,0.0,0.0,-0.0,68736.5,0
2024-05-25,0.0,0.0,0.0,-0.0,69365.0,0
2024-05-26,0.0,0.0,0.0,-0.0,68650.5,0
2024-05-27,0.0,0.0,0.0,-0.0,67628.5,0
2024-05-28,0.0,0.0,0.0,-0.0,67907.0,0
2024-05-29,0.0,0.0,0.0,-0.0,67566.5,0
2024-05-30,0.0,0.0,0.0,-0.0,68113.0,0
