timestamp,coin,funding_rate,premium,datetime
1766995200014,TST,1.25e-05,-2.83666e-05,2025-12-29 08:00:00.014
1766995200014,UNIBOT,0.0,0.0,2025-12-29 08:00:00.014
1766995200014,USUAL,1.25e-05,-0.0002724387,2025-12-29 08:00:00.014
1766995200014,VINE,1.25e-05,-0.0002374658,2025-12-29 08:00:00.014
1766995200014,VIRTUAL,1.25e-05,-7.98222e-05,2025-12-29 08:00:00.014
1766995200014,VVV,1.25e-05,-6.45113e-05,2025-12-29 08:00:00.014
1766995200014,WCT,-2.11574e-05,-0.0006692589,2025-12-29 08:00:00.014
1766995200014,WLFI,7.8721e-06,-0.0004370231,2025-12-29 08:00:00.014
1766995200014,XLM,4.8026e-06,-0.0004615793,2025-12-29 08:00:00.014
1766995200014,XPL,1.25e-05,0.0002034512,2025-12-29 08:00:00.014
1766995200014,XRP,1.25e-05,-0.0002786287,2025-12-29 08:00:00.014
1766995200014,ZEREBRO,0.0001690807,0.0018526453,2025-12-29 08:00:00.014
1766995200014,ZORA,1.25e-05,1.682e-05,2025-12-29 08:00:00.014
1766995200014,kDOGS,0.0,0.0,2025-12-29 08:00:00.014
1766995200014,kNEIRO,1.25e-05,-0.0001446651,2025-12-29 08:00:00.014
1766995200014,kPEPE,1.25e-05,-0.0001314378,2025-12-29 08:00:00.014
1766998800030,0G,-0.0010676917,-0.0090415332,2025-12-29 09:00:00.030
1766998800030,AERO,1.25e-05,-5.2911e-06,2025-12-29 09:00:00.030
1766998800030,AI16Z,0.0,0.0,2025-12-29 09:00:00.030
1766998800030,AIXBT,1.25e-05,-4.47937e-05,2025-12-29 09:00:00.030
1766998800030,ALGO,1.25e-05,-0.0002202308,2025-12-29 09:00:00.030
1766998800030,ANIME,-0.0003129268,-0.0030034148,2025-12-29 09:00:00.030
1766998800030,APE,1.25e-05,-6.65815e-05,2025-12-29 09:00:00.030
1766998800030,APEX,1.25e-05,-0.0001051395,2025-12-29 09:00:00.030
1766998800030,APT,1.06693e-05,-0.0004146455,2025-12-29 09:00:00.030
1766998800030,ARB,1.25e-05,-0.0002411775,2025-12-29 09:00:00.030
1766998800030,ASTER,1.25e-05,-1.73709e-05,2025-12-29 09:00:00.030
1766998800030,ATOM,1.25e-05,-0.0003963432,2025-12-29 09:00:00.030
1766998800030,AVAX,1.25e-05,-0.0002434937,2025-12-29 09:00:00.030
1766998800030,BABY,9.5949e-06,-0.0004232405,2025-12-29 09:00:00.030
1766998800030,BCH,-1.10094e-05,-0.0005880754,2025-12-29 09:00:00.030
1766998800030,BERA,1.25e-05,-2.18638e-05,2025-12-29 09:00:00.030
1766998800030,BIO,1.3491e-06,-0.0004892073,2025-12-29 09:00:00.030
1766998800030,BLAST,-0.0001028798,-0.0013230384,2025-12-29 09:00:00.030
1766998800030,BLZ,0.0,0.0,2025-12-29 09:00:00.030
1766998800030,BNB,1.25e-05,-0.000216326,2025-12-29 09:00:00.030
1766998800030,BTC,1.25e-05,-0.0003570669,2025-12-29 09:00:00.030
1766998800030,CATI,0.0,0.0,2025-12-29 09:00:00.030
1766998800030,CC,1.25e-05,-0.0002375817,2025-12-29 09:00:00.030
1766998800030,CELO,-3.53638e-05,-0.00078291,2025-12-29 09:00:00.030
1766998800030,CFX,3.6587e-06,-0.0004707301,2025-12-29 09:00:00.030
1766998800030,CHILLGUY,1.25e-05,0.0,2025-12-29 09:00:00.030
1766998800030,COMP,-2.7685e-06,-0.0005221481,2025-12-29 09:00:00.030
1766998800030,CRV,1.25e-05,-0.0001192886,2025-12-29 09:00:00.030
1766998800030,DOGE,1.25e-05,-0.0003117478,2025-12-29 09:00:00.030
1766998800030,DOOD,1.25e-05,-2.0962e-05,2025-12-29 09:00:00.030
1766998800030,DYDX,1.25e-05,4.018e-07,2025-12-29 09:00:00.030
1766998800030,ETH,1.25e-05,-0.0003925503,2025-12-29 09:00:00.030
1766998800030,FARTCOIN,1.25e-05,0.0002830699,2025-12-29 09:00:00.030
1766998800030,FOGO,1.25e-05,0.0,2025-12-29 09:00:00.030
1766998800030,FTM,0.0,0.0,2025-12-29 09:00:00.030
1766998800030,FXS,1.25e-05,-0.0001370838,2025-12-29 09:00:00.030
1766998800030,GMX,1.25e-05,-0.0002470076,2025-12-29 09:00:00.030
1766998800030,GOAT,-5.1504e-05,-0.000912032,2025-12-29 09:00:00.030
1766998800030,GRASS,1.25e-05,0.0001972604,2025-12-29 09:00:00.030
1766998800030,GRIFFAIN,1.25e-05,0.0001157304,2025-12-29 09:00:00.030
1766998800030,HEMI,0.0001178354,0.0014426832,2025-12-29 09:00:00.030
1766998800030,HMSTR,1.25e-05,0.0,2025-12-29 09:00:00.030
1766998800030,HYPE,1.25e-05,6.41122e-05,2025-12-29 09:00:00.030
1766998800030,HYPER,-3.29482e-05,-0.0007635856,2025-12-29 09:00:00.030
1766998800030,INIT,-0.0001023005,-0.0013184044,2025-12-29 09:00:00.030
1766998800030,INJ,1.25e-05,-3.57405e-05,2025-12-29 09:00:00.030
1766998800030,IOTA,1.25e-05,-0.0003273496,2025-12-29 09:00:00.030
1766998800030,IP,1.25e-05,-1.78349e-05,2025-12-29 09:00:00.030
1766998800030,JELLY,0.0,0.0,2025-12-29 09:00:00.030
1766998800030,KAITO,-0.0001821734,-0.0019573875,2025-12-29 09:00:00.030
1766998800030,LAUNCHCOIN,0.0,0.0,2025-12-29 09:00:00.030
1766998800030,LAYER,-2.0284e-05,-0.0006622722,2025-12-29 09:00:00.030
1766998800030,LDO,1.25e-05,-0.0001902914,2025-12-29 09:00:00.030
1766998800030,LINEA,9.207e-06,-0.0004263438,2025-12-29 09:00:00.030
1766998800030,LINK,1.25e-05,-1.17844e-05,2025-12-29 09:00:00.030
1766998800030,LISTA,0.0,0.0,2025-12-29 09:00:00.030
1766998800030,LIT,1.25e-05,-4.26654e-05,2025-12-29 09:00:00.030
1766998800030,LTC,1.25e-05,-0.0002503832,2025-12-29 09:00:00.030
1766998800030,MATIC,0.0,0.0,2025-12-29 09:00:00.030
1766998800030,ME,1.25e-05,-5.71772e-05,2025-12-29 09:00:00.030
1766998800030,MELANIA,1.25e-05,-9.23937e-05,2025-12-29 09:00:00.030
1766998800030,MEW,-2.25796e-05,-0.0006806369,2025-12-29 09:00:00.030
1766998800030,MON,1.25e-05,2.66772e-05,2025-12-29 09:00:00.030
1766998800030,MOODENG,-1.0279e-06,-0.0005082236,2025-12-29 09:00:00.030
1766998800030,MORPHO,1.25e-05,-1.8783e-06,2025-12-29 09:00:00.030
1766998800030,MOVE,-3.28704e-05,-0.0007629632,2025-12-29 09:00:00.030
1766998800030,NEIROETH,0.0,0.0,2025-12-29 09:00:00.030
1766998800030,NIL,-7.72559e-05,-0.0011180469,2025-12-29 09:00:00.030
1766998800030,OM,-2.78271e-05,-0.0007226171,2025-12-29 09:00:00.030
1766998800030,OP,1.25e-05,-0.000261012,2025-12-29 09:00:00.030
1766998800030,PAXG,1.25e-05,-0.0003857081,2025-12-29 09:00:00.030
1766998800030,PENGU,1.03655e-05,-0.0004170763,2025-12-29 09:00:00.030
1766998800030,PNUT,1.25e-05,-0.0001493276,2025-12-29 09:00:00.030
1766998800030,POL,1.25e-05,-0.0002993072,2025-12-29 09:00:00.030
1766998800030,PROMPT,1.25e-05,-1.668e-07,2025-12-29 09:00:00.030
1766998800030,PROVE,-5.9273e-06,-0.0005474181,2025-12-29 09:00:00.030
1766998800030,PUMP,1.25e-05,8.70435e-05,2025-12-29 09:00:00.030
1766998800030,PURR,1.25e-05,0.0,2025-12-29 09:00:00.030
1766998800030,RENDER,1.25e-05,-0.000273865,2025-12-29 09:00:00.030
1766998800030,RESOLV,-0.0001304221,-0.0015433765,2025-12-29 09:00:00.030
1766998800030,RNDR,0.0,0.0,2025-12-29 09:00:00.030
1766998800030,S,-2.85515e-05,-0.000728412,2025-12-29 09:00:00.030
1766998800030,SAND,-7.144e-07,-0.0005057154,2025-12-29 09:00:00.030
1766998800030,SCR,-4.23297e-05,-0.0008386377,2025-12-29 09:00:00.030
1766998800030,SEI,-4.78741e-05,-0.0008829926,2025-12-29 09:00:00.030
1766998800030,SKY,-2.68083e-05,-0.0007144668,2025-12-29 09:00:00.030
1766998800030,SNX,6.1626e-06,-0.0004506996,2025-12-29 09:00:00.030
1766998800030,SOL,1.25e-05,-0.0003508008,2025-12-29 09:00:00.030
1766998800030,SOPH,1.25e-05,-0.0001582917,2025-12-29 09:00:00.030
1766998800030,SPX,1.25e-05,-0.0001435492,2025-12-29 09:00:00.030
1766998800030,STX,-1.97274e-05,-0.0006578195,2025-12-29 09:00:00.030
1766998800030,SUI,1.23122e-05,-0.0004015025,2025-12-29 09:00:00.030
1766998800030,SYRUP,1.25e-05,-7.26245e-05,2025-12-29 09:00:00.030
1766998800030,TRUMP,1.21887e-05,-0.0004024901,2025-12-29 09:00:00.030
1766998800030,TST,1.25e-05,-0.0001185211,2025-12-29 09:00:00.030
1766998800030,UNIBOT,0.0,0.0,2025-12-29 09:00:00.030
1766998800030,USUAL,-1.13048e-05,-0.0005904387,2025-12-29 09:00:00.030
1766998800030,VINE,1.25e-05,-2.58129e-05,2025-12-29 09:00:00.030
1766998800030,VIRTUAL,1.25e-05,-8.11413e-05,2025-12-29 09:00:00.030
1766998800030,VVV,1.25e-05,-9.53567e-05,2025-12-29 09:00:00.030
1766998800030,WCT,-3.066e-05,-0.0007452797,2025-12-29 09:00:00.030
1766998800030,WLFI,-1.4688e-06,-0.0005117502,2025-12-29 09:00:00.030
1766998800030,XLM,1.25e-05,-0.0003730327,2025-12-29 09:00:00.030
1766998800030,XPL,1.25e-05,0.0002062798,2025-12-29 09:00:00.030
1766998800030,XRP,1.25e-05,-0.0002806116,2025-12-29 09:00:00.030
1766998800030,ZEREBRO,8.6073e-05,0.0011885842,2025-12-29 09:00:00.030
1766998800030,ZORA,1.25e-05,8.59642e-05,2025-12-29 09:00:00.030
1766998800030,kDOGS,0.0,0.0,2025-12-29 09:00:00.030
1766998800030,kNEIRO,1.25e-05,-0.0001081346,2025-12-29 09:00:00.030
1766998800030,kPEPE,1.25e-05,-0.000230461,2025-12-29 09:00:00.030
1767002400008,0G,-0.0014490839,-0.0120926712,2025-12-29 10:00:00.008
1767002400008,AERO,1.25e-05,-0.0001166485,2025-12-29 10:00:00.008
1767002400008,AI16Z,0.0,0.0,2025-12-29 10:00:00.008
1767002400008,AIXBT,1.25e-05,-1.96165e-05,2025-12-29 10:00:00.008
1767002400008,ALGO,1.25e-05,-0.000234982,2025-12-29 10:00:00.008
1767002400008,ANIME,-0.0003763786,-0.0035110291,2025-12-29 10:00:00.008
1767002400008,APE,1.25e-05,-0.0001003949,2025-12-29 10:00:00.008
1767002400008,APEX,1.25e-05,-0.0001361451,2025-12-29 10:00:00.008
1767002400008,APT,9.3451e-06,-0.0004252395,2025-12-29 10:00:00.008
1767002400008,ARB,1.25e-05,-0.0003834806,2025-12-29 10:00:00.008
1767002400008,ASTER,1.25e-05,2.03688e-05,2025-12-29 10:00:00.008
1767002400008,ATOM,1.25e-05,-0.0003174789,2025-12-29 10:00:00.008
1767002400008,AVAX,1.25e-05,-0.000304129,2025-12-29 10:00:00.008
1767002400008,BABY,-1.66189e-05,-0.0006329508,2025-12-29 10:00:00.008
1767002400008,BCH,1.813e-07,-0.00049855,2025-12-29 10:00:00.008
1767002400008,BERA,1.25e-05,-6.0232e-06,2025-12-29 10:00:00.008
