fr_threshold,min_consecutive,exit_strategy,exit_param,config,n_trades,avg_pnl,std_pnl,sharpe,win_rate,total_pnl,avg_hold,max_dd
0.002,1,fixed,12,FR>0.2%_Cons>=1_Fixed12h,360,0.02083465570229994,0.0862799242781824,0.2414774453802853,0.6305555555555555,7.500476052827979,12.0,1.9324465772873065
0.002,1,fixed,24,FR>0.2%_Cons>=1_Fixed24h,358,0.026250460167248982,0.08552139539512847,0.3069461161849129,0.7067039106145251,9.397664739875136,24.0,1.4029343015263382
0.002,1,fixed,36,FR>0.2%_Cons>=1_Fixed36h,353,0.025288640974354515,0.0962848355462714,0.26264406882848756,0.6968838526912181,8.926890263947143,36.0,1.766286687160326
0.002,1,fixed,48,FR>0.2%_Cons>=1_Fixed48h,350,0.0076446543660466815,0.11014105216193316,0.06940785670729972,0.5628571428571428,2.6756290281163384,48.0,3.6323175053120234
0.002,1,normalized,0.0001,FR>0.2%_Cons>=1_Norm<0.01%,206,0.054407023468368475,0.08071079501379265,0.6740984704595075,0.7621359223300971,11.207846834483906,34.99514563106796,0.32192557571633307
0.002,1,normalized,0.0003,FR>0.2%_Cons>=1_Norm<0.03%,309,0.04118716235821107,0.07619458932138834,0.5405523243190387,0.7702265372168284,12.726833168687222,30.100323624595468,1.1849995760259777
0.002,1,normalized,0.0005,FR>0.2%_Cons>=1_Norm<0.05%,348,0.031218325008324787,0.0761737599325471,0.40983043289407056,0.7385057471264368,10.863977102897026,24.195402298850574,1.7011872918903013
0.002,1,fixed_or_normalized,"(24, 0.0003)",FR>0.2%_Cons>=1_Max24h_OR_Norm<0.03%,360,0.026791132363202703,0.0810671478839129,0.330480756539841,0.7333333333333333,9.644807650752973,19.975,1.4552773359901625
0.002,1,fixed_or_normalized,"(48, 0.0003)",FR>0.2%_Cons>=1_Max48h_OR_Norm<0.03%,360,0.017440285494301967,0.09737111440704038,0.1791114911286355,0.6611111111111111,6.278502777948709,30.92222222222222,3.9131840172517824
0.002,2,fixed,4,FR>0.2%_Cons>=2_Fixed4h,254,0.012744114521724772,0.06201742746435001,0.2054924727255186,0.5905511811023622,3.237005088518092,4.0,0.9821120623740772
0.002,2,fixed,8,FR>0.2%_Cons>=2_Fixed8h,254,0.017922260052199587,0.08241227006073486,0.21747077272585175,0.6299212598425197,4.552254053258695,8.0,1.0287009068213886
0.002,2,fixed,12,FR>0.2%_Cons>=2_Fixed12h,254,0.021183655802277095,0.09025594572605883,0.23470648533862648,0.6496062992125984,5.380648573778382,12.0,1.9868003307141255
0.002,2,fixed,24,FR>0.2%_Cons>=2_Fixed24h,253,0.029896888618696285,0.08041762300747302,0.3717703595382077,0.7312252964426877,7.5639128205301605,24.0,1.288788341758952
0.002,2,fixed,36,FR>0.2%_Cons>=2_Fixed36h,249,0.027733415697852228,0.0908940191668536,0.3051181579608903,0.7188755020080321,6.905620508765205,36.0,1.486567158220671
