target_coin,hedge_coins,n_hedges,hour,position_type,weights,target_funding,hedge_funding_total,funding_pnl,price_pnl,hedge_pnl,gross_pnl,trading_fee,net_pnl,valid,correlation,net_funding,reached_threshold
TNSR,DYM,1,2025-12-01 13:00:00,long,0.9695,-0.0028217088,-0.0014556725537118393,0.0013660362462881606,0.007099088327604308,-0.0005024872198482461,0.007962637354044223,0.0017725489577778558,0.006190088396266367,True,0.7018407452466974,0.00427738135371184,True
DYM,TNSR,1,2025-12-01 14:00:00,long,0.5143,-0.0017062784,-0.0017962167435626249,-8.993834356262487e-05,-0.05460008288437623,0.019385941169958405,-0.035304080057980455,0.0013628698744739692,-0.03666694993245442,True,0.7011475382922558,0.003502495143562625,True
RESOLV,"GRASS,MAV,SUPER,ASTER",4,2025-12-01 14:00:00,long,"0.4681,0.2663,0.1294,0.1151",-0.0016617559,-6.861787894184042e-05,0.0015931380210581596,-0.0043950532553750365,0.0037658528854706795,0.0009639376511538025,0.001781073654364173,-0.0008171360032103705,True,0.3100540297328189,0.0017303737789418406,False
TNSR,DYM,1,2025-12-01 14:00:00,long,0.9674,-0.0034925476,-0.0016505851548077567,0.0018419624451922435,-0.03769384877940196,0.05281792599626444,0.016966039662054726,0.0017706238321524676,0.015195415829902258,True,0.7011475382922557,0.005143132754807757,True
DYM,TNSR,1,2025-12-01 15:00:00,long,0.5148,-0.0013330495,-0.0014878957912856379,-0.0001548462912856379,0.014465753424657501,-0.003334177141788448,0.010976729991583415,0.0013632958216270143,0.0096134341699564,True,0.7006008325426752,0.002820945291285638,True
RESOLV,"GRASS,MAV,SUPER",3,2025-12-01 15:00:00,long,"0.4689,0.2635,0.1291",-0.0010520465,-9.493581159210262e-05,0.0009571106884078975,0.041307633162764645,0.0071665443905999816,0.04943128824177252,0.0016753485379693135,0.04775593970380321,True,0.3033506853752959,0.0011469823115921025,False
TNSR,DYM,1,2025-12-01 15:00:00,long,0.9650,-0.0028903913,-0.001286344582053685,0.001604046717946315,0.006476983576220174,-0.013958929164395407,-0.005877898870228918,0.0017684674678984662,-0.007646366338127384,True,0.7006008325426752,0.004176735882053685,True
TNSR,DYM,1,2025-12-01 16:00:00,long,0.9532,-0.0032115782,-0.0007306927188057949,0.0024808854811942055,-0.0419060752317475,0.059517560824498425,0.020092371073945132,0.0017578869454967895,0.018334484128448344,True,0.7038732093970124,0.003942270918805795,True
RESOLV,"GRASS,MAV,SUPER",3,2025-12-01 17:00:00,long,"0.4471,0.2981,0.1168",-0.0013668036,-3.530387699857512e-05,0.0013314997230014249,-0.014618821732981235,-0.006565036948967914,-0.019852358958947724,0.0016757881891656216,-0.021528147148113345,True,0.29265250340263216,0.001402107476998575,False
TNSR,DYM,1,2025-12-01 17:00:00,long,0.9555,-0.0037518781,-0.0008500811758774473,0.0029017969241225527,-0.017751479289940808,0.002311967596102832,-0.012537714769715423,0.0017599528614246952,-0.01429766763114012,True,0.7071278663642573,0.004601959275877448,True
DYM,TNSR,1,2025-12-01 18:00:00,long,0.5476,-0.0011169712,-0.0017249111577192528,-0.0006079399577192527,0.011896511896511752,0.010654092160606836,0.021942664099399337,0.0013928342313422803,0.020549829868057055,True,0.7098113955722107,0.002841882357719253,True
RESOLV,"GRASS,MAV,SUPER",3,2025-12-01 18:00:00,long,"0.4475,0.3009,0.1192",-0.0013515377,-5.2197816346142136e-05,0.0012993398836538578,0.0024387455702474803,-0.0033869962901340337,0.00035108916376730415,0.0016809066602750736,-0.0013298174965077694,True,0.29081093256039664,0.001403735516346142,False
TNSR,DYM,1,2025-12-01 18:00:00,long,0.9311,-0.0031499842,-0.0010400522917278885,0.0021099319082721114,-0.01945620319114294,-0.011077272593541477,-0.028423543876412306,0.0017380225582853878,-0.030161566434697695,True,0.7098113955722107,0.004190036491727889,True
TNSR,DYM,1,2025-12-01 19:00:00,long,0.9322,-0.0019787984,-0.0008899154042928949,0.001088882995707105,0.01328352013283518,0.008831467436283802,0.023203870564826087,0.0017389787661247515,0.021464891798701334,True,0.7100153069293615,0.002868713804292895,True
TNSR,DYM,1,2025-12-01 20:00:00,long,0.9272,-0.0014013733,-0.0006360889471460707,0.0007652843528539292,0.016550594018844622,-0.003739687891247609,0.013576190480450941,0.0017345060105206284,0.011841684469930313,True,0.7059868758996585,0.0020374622471460704,True
MERL,"KAS,ZEREBRO,ACE,SKY",4,2025-12-01 21:00:00,long,"0.4474,0.3209,0.1770,0.2062",-0.0013889682,7.500259870029724e-06,0.0013964684598700297,-0.012869611685073057,-0.00040030924691576925,-0.011873452472118797,0.0019363790357156156,-0.013809831507834412,True,0.2284283253552571,0.0013814679401299703,False
TNSR,DYM,1,2025-12-01 21:00:00,long,0.9260,-0.0018098402,-0.0007411419236474693,0.0010686982763525306,-0.006528572579995173,-0.0013815712998441012,-0.006841445603486743,0.0017333744355375097,-0.008574820039024253,True,0.7041425119833075,0.0025509821236474692,True
MERL,"KAS,ZEREBRO,ACE,SKY",4,2025-12-01 22:00:00,long,"0.4386,0.3177,0.1793,0.2064",-0.0018260338,6.498547514700143e-06,0.0018325323475147002,-0.03417241845987273,-0.003228154266312876,-0.03556804037867091,0.0019278102982516416,-0.03749585067692255,True,0.22579422147577963,0.0018195352524852998,False
TNSR,DYM,1,2025-12-01 22:00:00,long,0.9268,-0.0025188371,-0.000506055529315633,0.002012781570684367,-0.05338309264968355,0.0014869689299331155,-0.04988334214906607,0.0017341258424526207,-0.05161746799151869,True,0.7041032745601681,0.003024892629315633,True
MERL,"KAS,ZEREBRO,ACE,SKY",4,2025-12-01 23:00:00,long,"0.4422,0.3160,0.1793,0.2026",-0.0025610099,-1.0677637018041059e-06,0.0025599421362981953,0.036152175436138245,-0.018236880816742292,0.02047523675569415,0.0019260780258047233,0.018549158729889426,True,0.22569745609568093,0.002562077663701804,False
TNSR,DYM,1,2025-12-01 23:00:00,long,0.9273,-0.0013782381,-0.0002887441071606578,0.0010894939928393422,-0.019883441892355136,0.005428312259698132,-0.013365635639817661,0.0017345551130557176,-0.01510019075287338,True,0.7046988358777556,0.0016669822071606578,True
MERL,"KAS,ZEREBRO,ACE",3,2025-12-02 00:00:00,long,"0.4489,0.3056,0.1786",-0.003614383,1.1663421364561295e-05,0.0036260464213645617,-0.17727139540649584,-0.0072747036903250215,-0.1809200526754563,0.001739766338248413,-0.1826598190137047,True,0.2167439168940608,0.003602719578635439,False
