coin,entry_hour,direction,holding_hours,entry_price,exit_price,exit_hour,price_return,funding_collected,entry_funding,trading_fee,gross_pnl,net_pnl,valid,fr_magnitude,fr_bucket,entry_hour_of_day
TNSR,2025-12-13 10:00:00,long,8,0.10706,0.10696,2025-12-13 18:00:00,-0.000934055669717942,0.0111141612,-0.0012616268,0.0009,0.010180105530282058,0.009280105530282058,True,0.0012616268,0.10-0.20%,10
TNSR,2025-12-13 11:00:00,long,8,0.10871,0.10616,2025-12-13 19:00:00,-0.02345690368871306,0.011084123999999999,-0.0011573661,0.0009,-0.012372779688713061,-0.01327277968871306,True,0.0011573661,0.10-0.20%,11
TNSR,2025-12-13 12:00:00,long,8,0.10769,0.10107,2025-12-13 20:00:00,-0.061472745844553825,0.0106896067,-0.0015797226,0.0009,-0.050783139144553825,-0.05168313914455382,True,0.0015797226,0.10-0.20%,12
TNSR,2025-12-13 13:00:00,long,8,0.11035,0.10137,2025-12-13 21:00:00,-0.08137743543271411,0.0097433964,-0.0019578486,0.0009,-0.07163403903271412,-0.07253403903271412,True,0.0019578486,0.10-0.20%,13
TNSR,2025-12-13 14:00:00,long,8,0.10813,0.1031,2025-12-13 22:00:00,-0.04651808008878208,0.0084393533,-0.0012236492,0.0009,-0.03807872678878208,-0.03897872678878208,True,0.0012236492,0.10-0.20%,14
TNSR,2025-12-13 15:00:00,long,8,0.10695,0.10572,2025-12-13 23:00:00,-0.011500701262272173,0.0083890388,-0.0010945152,0.0009,-0.003111662462272173,-0.004011662462272173,True,0.0010945152,0.10-0.20%,15
TURBO,2025-12-13 15:00:00,long,8,0.002077,0.00204,2025-12-13 23:00:00,-0.017814155031294996,0.0064913261,-0.0013225665,0.0009,-0.011322828931294996,-0.012222828931294996,True,0.0013225665,0.10-0.20%,15
TNSR,2025-12-13 16:00:00,long,8,0.10819,0.10398,2025-12-14 00:00:00,-0.03891302338478595,0.0084196152,-0.0015512328,0.0009,-0.03049340818478595,-0.03139340818478595,True,0.0015512328,0.10-0.20%,16
TURBO,2025-12-13 16:00:00,long,8,0.002036,0.002026,2025-12-14 00:00:00,-0.004911591355599227,0.0054683144,-0.0011098521,0.0009,0.0005567230444007733,-0.0003432769555992267,True,0.0011098521,0.10-0.20%,16
TNSR,2025-12-13 17:00:00,long,8,0.10774,0.1024,2025-12-14 01:00:00,-0.04956376461852606,0.0082041556,-0.0012881999,0.0009,-0.04135960901852606,-0.04225960901852606,True,0.0012881999,0.10-0.20%,17
TNSR,2025-12-13 18:00:00,long,8,0.10696,0.10206,2025-12-14 02:00:00,-0.04581151832460734,0.0076152162,-0.0012315896,0.0009,-0.03819630212460734,-0.03909630212460734,True,0.0012315896,0.10-0.20%,18
TNSR,2025-12-13 22:00:00,long,8,0.1031,0.09977,2025-12-14 06:00:00,-0.03229873908826382,0.0087713122,-0.0011733347,0.0009,-0.02352742688826382,-0.024427426888263822,True,0.0011733347,0.10-0.20%,22
TNSR,2025-12-13 23:00:00,long,8,0.10572,0.10114,2025-12-14 07:00:00,-0.04332198259553539,0.008567325300000001,-0.0011250916,0.0009,-0.03475465729553538,-0.03565465729553538,True,0.0011250916,0.10-0.20%,23
TNSR,2025-12-14 00:00:00,long,8,0.10398,0.09943,2025-12-14 08:00:00,-0.043758415079823025,0.008611464000000001,-0.0013357732,0.0009,-0.035146951079823026,-0.036046951079823024,True,0.0013357732,0.10-0.20%,0
