entry_threshold,exit_threshold,min_consecutive,config,n_trades,avg_pnl,std_pnl,sharpe,win_rate,total_pnl,total_dollar_pnl,final_capital,total_return,avg_hold,avg_positions,max_positions,avg_exposure
0.0003,0.0001,1,Entry>0.03%_Exit<0.010%_Cons>=1,419,0.002196378535534614,0.12496351017529587,0.017576159091990822,0.5584725536992841,0.9202826063890033,6756.081796159719,106756.08179615965,0.06756081796159648,15.293556085918855,1.6274509803921569,13,0.1626543645611144
0.0003,0.0001,2,Entry>0.03%_Exit<0.010%_Cons>=2,407,0.0026084899473539564,0.11970746359886192,0.021790537272554457,0.5651105651105651,1.0616554085730603,8078.307789725277,108078.30778972543,0.08078307789725427,15.530712530712531,1.580392156862745,13,0.1580617943567961
0.0003,0.0001,3,Entry>0.03%_Exit<0.010%_Cons>=3,385,0.003419333075039842,0.11309855167368087,0.030233217175985767,0.5922077922077922,1.3164432338903391,11243.015077075566,111243.01507707553,0.11243015077075529,16.155844155844157,1.5333333333333334,13,0.15324540877545076
0.0003,0.0001,4,Entry>0.03%_Exit<0.010%_Cons>=4,366,0.0028004379474081925,0.12004501843674241,0.02332823122422094,0.5792349726775956,1.0249602887513984,7890.675915663007,107890.6759156628,0.07890675915662795,16.661202185792348,1.4941176470588236,13,0.14933636456697658
0.0003,0.0002,1,Entry>0.03%_Exit<0.020%_Cons>=1,543,-0.0011291130704726763,0.1014573251899457,-0.011128945774578434,0.5524861878453039,-0.6131083972666632,-7717.512884874224,92282.4871151257,-0.07717512884874304,9.029465930018416,1.411764705882353,10,0.14136453829635934
0.0003,0.0002,2,Entry>0.03%_Exit<0.020%_Cons>=2,529,-0.0007857221825058795,0.0987292462094965,-0.007958352896148244,0.5614366729678639,-0.41564703454561025,-6092.289987865478,93907.71001213438,-0.06092289987865617,9.162570888468808,1.3686274509803922,10,0.13711022012579105
0.0003,0.0002,3,Entry>0.03%_Exit<0.020%_Cons>=3,502,0.0002523427926319456,0.0934924168909323,0.0026990722993751166,0.5717131474103586,0.1266760819012367,-515.1627556875992,99484.8372443123,-0.005151627556877065,9.4800796812749,1.3176470588235294,10,0.13198169457529813
0.0003,0.0002,4,Entry>0.03%_Exit<0.020%_Cons>=4,479,-0.0005781843778930273,0.09843683474370019,-0.005873658772129813,0.5636743215031316,-0.2769503170107601,-4602.332294114309,95397.66770588572,-0.046023322941142836,9.762004175365345,1.2784313725490195,10,0.12806188236599897
0.0005,5e-05,1,Entry>0.05%_Exit<0.005%_Cons>=1,191,0.005335003785654653,0.17871754875205484,0.029851594445580783,0.5287958115183246,1.0189857230600388,7597.688014130461,107597.68801413052,0.07597688014130516,28.31413612565445,1.2823529411764707,12,0.12853309196755885
0.0005,5e-05,2,Entry>0.05%_Exit<0.005%_Cons>=2,182,0.004388819371996767,0.17072397489439037,0.025707106308365216,0.5274725274725275,0.7987651257034116,5152.275769459446,105152.27576945939,0.05152275769459389,29.197802197802197,1.2352941176470589,11,0.1236316275306957
0.0005,5e-05,3,Entry>0.05%_Exit<0.005%_Cons>=3,170,0.00577554427742246,0.15724169216699643,0.03673036201676474,0.5470588235294118,0.9818425271618182,7613.263535618686,107613.26353561871,0.0761326353561871,30.823529411764707,1.192156862745098,11,0.1193534438520697
0.0005,5e-05,4,Entry>0.05%_Exit<0.005%_Cons>=4,163,0.0021208590860928907,0.1602327958831475,0.013236111087018436,0.5398773006134969,0.3457000310331412,933.8688110612356,100933.86881106127,0.009338688110612711,31.70552147239264,1.1490196078431372,11,0.11509414974971253
0.0005,0.0001,1,Entry>0.05%_Exit<0.010%_Cons>=1,207,0.0038242674142554495,0.16143903159420359,0.023688617160862346,0.5555555555555556,0.7916233547508781,6147.99031633939,106147.9903163393,0.06147990316339303,22.033816425120772,1.1372549019607843,10,0.11355776577930568
0.0005,0.0001,2,Entry>0.05%_Exit<0.010%_Cons>=2,198,0.0028029411878485884,0.15506862703500865,0.018075488520419996,0.5555555555555556,0.5549823551940205,3446.9727031313105,103446.97270313134,0.03446972703131338,22.696969696969695,1.1058823529411765,10,0.1103835881811743
0.0005,0.0001,3,Entry>0.05%_Exit<0.010%_Cons>=3,186,0.004236982304103676,0.14399644377474388,0.029424214883609627,0.5806451612903226,0.7880787085632837,6225.579275379021,106225.57927537894,0.06225579275378943,23.795698924731184,1.0745098039215686,10,0.10726350304094255
0.0005,0.0001,4,Entry>0.05%_Exit<0.010%_Cons>=4,178,0.0026232747100235995,0.1537854023900611,0.01705802156286543,0.5617977528089888,0.4669428983842007,2659.8032136930747,102659.80321369307,0.026598032136930707,24.5561797752809,1.0431372549019609,10,0.10412751288100945
0.0005,0.0002,1,Entry>0.05%_Exit<0.020%_Cons>=1,239,0.00012127459077822146,0.1377283725271112,0.0008805345518357092,0.5648535564853556,0.028984627195994928,-1332.0033679037315,98667.99663209633,-0.013320033679036714,14.686192468619247,1.007843137254902,9,0.10082387818670614
0.0005,0.0002,2,Entry>0.05%_Exit<0.020%_Cons>=2,230,-0.0008115951126615967,0.13456882032374978,-0.006031078452713164,0.5695652173913044,-0.18666687591216724,-3624.5735923344328,96375.4264076656,-0.036245735923344034,15.1,0.9764705882352941,9,0.09774542869024437
0.0005,0.0002,3,Entry>0.05%_Exit<0.020%_Cons>=3,217,0.0009535897156691189,0.1252453452751923,0.007613773698127201,0.5944700460829493,0.2069289683001988,588.5678744970883,100588.567874497,0.005885678744970064,15.751152073732719,0.9490196078431372,9,0.0949706776691351
0.0005,0.0002,4,Entry>0.05%_Exit<0.020%_Cons>=4,208,-0.000982121642538883,0.13274616567206263,-0.00739849348993722,0.5769230769230769,-0.20428130164808767,-3614.462463756923,96385.53753624318,-0.03614462463756819,16.21153846153846,0.9176470588235294,9,0.09183235356776545
0.0005,0.0003,1,Entry>0.05%_Exit<0.030%_Cons>=1,271,0.0031570366962163257,0.09671316456614175,0.032643298462819305,0.5682656826568265,0.8555569446746243,8108.912780018761,108108.91278001868,0.08108912780018683,11.081180811808117,0.9529411764705882,8,0.09540244775436135
0.0005,0.0003,2,Entry>0.05%_Exit<0.030%_Cons>=2,262,0.0027223663182305334,0.09637064501056586,0.028248916648135534,0.5687022900763359,0.7132599753763997,6413.841533074479,106413.84153307453,0.06413841533074534,11.32824427480916,0.9215686274509803,8,0.09230767325346859
0.0005,0.0003,3,Entry>0.05%_Exit<0.030%_Cons>=3,249,0.004698203330723167,0.09495697163445103,0.04947718161031398,0.5943775100401606,1.1698526293500686,11468.89477842578,111468.89477842576,0.11468894778425762,11.714859437751004,0.8901960784313725,8,0.08912138536762787
0.0005,0.0003,4,Entry>0.05%_Exit<0.030%_Cons>=4,240,0.003047604587186749,0.0961141397441631,0.031708181494407295,0.5833333333333334,0.7314251009248198,6670.754921112325,106670.75492111234,0.0667075492111234,11.970833333333333,0.8549019607843137,8,0.08561466933425582
0.001,5e-05,1,Entry>0.10%_Exit<0.005%_Cons>=1,102,0.017507139515067265,0.20472125212745187,0.08551696188419153,0.5784313725490197,1.7857282305368611,17706.457748169534,117706.45774816955,0.17706457748169546,34.40196078431372,0.8235294117647058,11,0.08245387119002397
0.001,5e-05,2,Entry>0.10%_Exit<0.005%_Cons>=2,96,0.019652542803596965,0.1959811850883517,0.10027770163108903,0.5833333333333334,1.8866441091453088,19101.677150534928,119101.6771505349,0.19101677150534901,36.239583333333336,0.788235294117647,11,0.07897251574864093
0.001,5e-05,3,Entry>0.10%_Exit<0.005%_Cons>=3,90,0.018690771948571546,0.174385007963689,0.10718107116446271,0.6111111111111112,1.6821694753714391,17185.64016316411,117185.64016316406,0.17185640163164062,37.855555555555554,0.7568627450980392,11,0.07583746994303638
0.001,5e-05,4,Entry>0.10%_Exit<0.005%_Cons>=4,88,0.016556204411976614,0.17220630859925548,0.0961416834647148,0.6136363636363636,1.456945988253942,14608.898406942684,114608.89840694268,0.1460889840694268,38.23863636363637,0.7372549019607844,10,0.07387030319754753
