coin,entry_hour,direction,entry_fr,exit_type,holding_hours,entry_price,exit_price,exit_hour,price_return,funding_paid,trading_fee,gross_pnl,net_pnl,valid,consecutive_hours,fr_magnitude
XAI,2025-12-10 08:00:00,short,-0.0012022465,fixed_8h,8,0.01842,0.01806,2025-12-10 16:00:00,0.019543973941368035,0.005162892800000001,0.0009,0.014381081141368034,0.013481081141368034,True,1,0.0012022465
XAI,2025-12-10 09:00:00,short,-0.0013976695,fixed_8h,8,0.01836,0.018,2025-12-10 17:00:00,0.019607843137255047,0.0042271366,0.0009,0.015380706537255047,0.014480706537255047,True,2,0.0013976695
SUPER,2025-12-10 12:00:00,short,-0.0025185766,fixed_8h,8,0.28741,0.27991,2025-12-10 20:00:00,0.026095125430569594,0.0116818775,0.0009,0.014413247930569594,0.013513247930569594,True,1,0.0025185766
TNSR,2025-12-10 12:00:00,short,-0.0010970416,fixed_8h,8,0.10167,0.10184,2025-12-10 20:00:00,-0.0016720763253664157,0.0049970587,0.0009,-0.006669135025366416,-0.007569135025366416,True,1,0.0010970416
SUPER,2025-12-10 13:00:00,short,-0.0030028439,fixed_8h,8,0.28361,0.27945,2025-12-10 21:00:00,0.014668030041253825,0.0095132029,0.0009,0.005154827141253825,0.0042548271412538256,True,2,0.0030028439
SUPER,2025-12-10 14:00:00,short,-0.0016419682,fixed_8h,8,0.28591,0.27878,2025-12-10 22:00:00,0.02493791752649444,0.006558832200000001,0.0009,0.01837908532649444,0.017479085326494437,True,3,0.0016419682
SUPER,2025-12-10 15:00:00,short,-0.001518208,fixed_8h,8,0.28582,0.27603,2025-12-10 23:00:00,0.034252326639143585,0.005270957800000001,0.0009,0.028981368839143585,0.028081368839143583,True,4,0.001518208
SUPER,2025-12-10 16:00:00,short,-0.0011335351,fixed_8h,8,0.2862,0.2722,2025-12-11 00:00:00,0.0489168413696716,0.0042358108,0.0009,0.0446810305696716,0.0437810305696716,True,5,0.0011335351
SUPER,2025-12-11 02:00:00,short,-0.0010120864,fixed_8h,8,0.26608,0.26107,2025-12-11 10:00:00,0.018828923631990225,0.0080941798,0.0009,0.010734743831990225,0.009834743831990225,True,1,0.0010120864
FOGO,2025-12-11 03:00:00,long,0.0074775758,fixed_8h,8,0.12778,0.13237,2025-12-11 11:00:00,0.035921114415401335,0.008172636999999998,0.0009,0.02774847741540134,0.026848477415401337,True,1,0.0074775758
SUPER,2025-12-11 07:00:00,short,-0.0012813258,fixed_8h,8,0.26311,0.26455,2025-12-11 15:00:00,-0.0054729960852875105,0.0073405573,0.0009,-0.01281355338528751,-0.01371355338528751,True,1,0.0012813258
SUPER,2025-12-11 08:00:00,short,-0.0013254042,fixed_8h,8,0.26064,0.26616,2025-12-11 16:00:00,-0.021178637200736747,0.0065140372,0.0009,-0.027692674400736746,-0.028592674400736748,True,2,0.0013254042
SUPER,2025-12-11 09:00:00,short,-0.0011431504,fixed_8h,8,0.26061,0.26518,2025-12-11 17:00:00,-0.017535781435862086,0.0056213608,0.0009,-0.023157142235862085,-0.024057142235862087,True,3,0.0011431504
SUPER,2025-12-12 01:00:00,short,-0.0010300418,fixed_8h,8,0.28607,0.2745,2025-12-12 09:00:00,0.040444646415212955,0.0041993244,0.0009,0.03624532201521295,0.035345322015212954,True,1,0.0010300418
USUAL,2025-12-12 07:00:00,short,-0.0012569406,fixed_8h,8,0.0293,0.02732,2025-12-12 15:00:00,0.06757679180887369,0.0030968415,0.0009,0.06447995030887368,0.06357995030887369,True,1,0.0012569406
PROMPT,2025-12-13 00:00:00,short,-0.0014510895,fixed_8h,8,0.064858,0.066969,2025-12-13 08:00:00,-0.03254802799962999,0.0059772333,0.0009,-0.03852526129962999,-0.03942526129962999,True,1,0.0014510895
TNSR,2025-12-13 08:00:00,short,-0.0019447598,fixed_8h,8,0.11246,0.10819,2025-12-13 16:00:00,0.03796905566423626,0.011623938299999997,0.0009,0.02634511736423626,0.02544511736423626,True,1,0.0019447598
TNSR,2025-12-13 09:00:00,short,-0.00140445,fixed_8h,8,0.10758,0.10774,2025-12-13 17:00:00,-0.001487265290946341,0.0112304113,0.0009,-0.012717676590946341,-0.013617676590946341,True,2,0.00140445
TNSR,2025-12-13 10:00:00,short,-0.0012616268,fixed_8h,8,0.10706,0.10696,2025-12-13 18:00:00,0.000934055669717942,0.0111141612,0.0009,-0.010180105530282058,-0.011080105530282058,True,3,0.0012616268
TNSR,2025-12-13 11:00:00,short,-0.0011573661,fixed_8h,8,0.10871,0.10616,2025-12-13 19:00:00,0.02345690368871306,0.011084123999999999,0.0009,0.012372779688713061,0.011472779688713061,True,4,0.0011573661
TNSR,2025-12-13 12:00:00,short,-0.0015797226,fixed_8h,8,0.10769,0.10107,2025-12-13 20:00:00,0.061472745844553825,0.0106896067,0.0009,0.050783139144553825,0.04988313914455383,True,5,0.0015797226
TNSR,2025-12-13 13:00:00,short,-0.0019578486,fixed_8h,8,0.11035,0.10137,2025-12-13 21:00:00,0.08137743543271411,0.0097433964,0.0009,0.07163403903271412,0.07073403903271412,True,6,0.0019578486
TNSR,2025-12-13 14:00:00,short,-0.0012236492,fixed_8h,8,0.10813,0.1031,2025-12-13 22:00:00,0.04651808008878208,0.0084393533,0.0009,0.03807872678878208,0.037178726788782084,True,7,0.0012236492
TNSR,2025-12-13 15:00:00,short,-0.0010945152,fixed_8h,8,0.10695,0.10572,2025-12-13 23:00:00,0.011500701262272173,0.0083890388,0.0009,0.003111662462272173,0.0022116624622721733,True,8,0.0010945152
