t,time,close
1765454400000,2025-12-11 12:00:00,173.41
1765468800000,2025-12-11 16:00:00,179.98
1765483200000,2025-12-11 20:00:00,183.42
1765497600000,2025-12-12 00:00:00,183.28
1765512000000,2025-12-12 04:00:00,183.98
1765526400000,2025-12-12 08:00:00,183.49
1765540800000,2025-12-12 12:00:00,177.95
1765555200000,2025-12-12 16:00:00,179.52
1765569600000,2025-12-12 20:00:00,176.42
1765584000000,2025-12-13 00:00:00,176.7
1765598400000,2025-12-13 04:00:00,176.95
1765612800000,2025-12-13 08:00:00,177.22
1765627200000,2025-12-13 12:00:00,177.14
1765641600000,2025-12-13 16:00:00,177.19
1765656000000,2025-12-13 20:00:00,177.17
1765670400000,2025-12-14 00:00:00,176.87
1765684800000,2025-12-14 04:00:00,176.9
1765699200000,2025-12-14 08:00:00,176.1
1765713600000,2025-12-14 12:00:00,175.73
1765728000000,2025-12-14 16:00:00,175.47
1765742400000,2025-12-14 20:00:00,174.0
1765756800000,2025-12-15 00:00:00,176.95
1765771200000,2025-12-15 04:00:00,176.34
1765785600000,2025-12-15 08:00:00,176.61
1765800000000,2025-12-15 12:00:00,165.88
1765814400000,2025-12-15 16:00:00,163.91
1765828800000,2025-12-15 20:00:00,162.74
1765843200000,2025-12-16 00:00:00,161.01
1765857600000,2025-12-16 04:00:00,160.7
1765872000000,2025-12-16 08:00:00,165.07
1765886400000,2025-12-16 12:00:00,171.26
1765900800000,2025-12-16 16:00:00,166.18
1765915200000,2025-12-16 20:00:00,167.33
1765929600000,2025-12-17 00:00:00,166.83
1765944000000,2025-12-17 04:00:00,166.33
1765958400000,2025-12-17 08:00:00,167.17
1765972800000,2025-12-17 12:00:00,165.0
1765987200000,2025-12-17 16:00:00,163.4
1766001600000,2025-12-17 20:00:00,160.84
1766016000000,2025-12-18 00:00:00,161.36
1766030400000,2025-12-18 04:00:00,161.89
1766044800000,2025-12-18 08:00:00,163.33
1766059200000,2025-12-18 12:00:00,165.06
1766073600000,2025-12-18 16:00:00,157.79
1766088000000,2025-12-18 20:00:00,159.15
1766102400000,2025-12-19 00:00:00,161.59
1766116800000,2025-12-19 04:00:00,163.69
1766131200000,2025-12-19 08:00:00,164.64
1766145600000,2025-12-19 12:00:00,164.16
1766160000000,2025-12-19 16:00:00,164.84
1766174400000,2025-12-19 20:00:00,165.13
1766188800000,2025-12-20 00:00:00,165.19
1766203200000,2025-12-20 04:00:00,165.25
1766217600000,2025-12-20 08:00:00,165.54
1766232000000,2025-12-20 12:00:00,165.56
1766246400000,2025-12-20 16:00:00,165.53
1766260800000,2025-12-20 20:00:00,165.78
1766275200000,2025-12-21 00:00:00,165.29
1766289600000,2025-12-21 04:00:00,165.33
1766304000000,2025-12-21 08:00:00,165.72
1766318400000,2025-12-21 12:00:00,165.5
1766332800000,2025-12-21 16:00:00,165.61
1766347200000,2025-12-21 20:00:00,165.92
1766361600000,2025-12-22 00:00:00,167.08
1766376000000,2025-12-22 04:00:00,167.15
1766390400000,2025-12-22 08:00:00,169.19
1766404800000,2025-12-22 12:00:00,167.37
